model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,2,16830,7683,8415,8415,3606,4077,111.8857,3073,0.7922149122807017,0.8014420410427066,0.8081478589092802,0.7968017645437,0.9124806433449496,158.884,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,4,16830,7683,8415,8415,3606,4077,114.4627,3073,0.7854294070725871,0.8191902384914033,0.810100221267734,0.8019546626849464,0.9133751680592302,274.425,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,24,16830,7683,8415,8415,3606,4077,112.6855,3073,0.7833964305029746,0.8033832501386577,0.8034621892489913,0.7932639649507119,0.9120032143304615,388.176,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,42,16830,7683,8415,8415,3606,4077,114.1082,3073,0.781047516198704,0.8022739877981142,0.8016399843811012,0.7915184678522572,0.9085183702359638,503.377,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,64,16830,7683,8415,8415,3606,4077,110.4538,3073,0.7842119639442775,0.7961730449251248,0.8015098268905375,0.7901472409522499,0.9104748837240306,614.908,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,67,16830,7683,8415,8415,3606,4077,115.6108,3073,0.7832036490474913,0.8094841930116472,0.805414551607445,0.7961270966862131,0.9108579696635659,731.62,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,104,16830,7683,8415,8415,3606,4077,109.8091,3073,0.7755584756898818,0.8183582917359956,0.8035923467395548,0.7963837538793685,0.9114050506670606,842.514,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,123,16830,7683,8415,8415,3606,4077,114.572,3073,0.7772117962466488,0.8039378813089295,0.799817779513211,0.7903489640130862,0.9078969438965472,958.216,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,420,16830,7683,8415,8415,3606,4077,109.3391,3073,0.7841493102515553,0.8039378813089295,0.8041129767018091,0.7939203067232644,0.9114271570112276,1068.743,10,2026-09-24T14:37:13.525546+00:00
Falcon3-7B-Base,belief_bank_constraints,attn,0,25610,belief_bank_constraints,511,16830,7683,8415,8415,3606,4077,111.131,3073,0.787176724137931,0.8103161397670549,0.8081478589092802,0.7985788466794206,0.914361791204287,1181.085,10,2026-09-24T14:37:13.525546+00:00
