model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,2,2,3,1,1,1,2,2.6822,3073,0.0,0.0,0.6666666666666666,0.0,0.0,73.671,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,4,2,3,1,1,1,2,2.385,3073,0.0,0.0,0.3333333333333333,0.0,0.5,76.131,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,24,2,3,1,1,1,2,2.3851,3073,0.0,0.0,0.0,0.0,0.0,78.591,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,42,2,3,1,1,1,2,2.3953,3073,0.0,0.0,0.6666666666666666,0.0,0.5,81.061,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,64,2,3,1,1,1,2,2.3648,3073,0.0,0.0,0.6666666666666666,0.0,0.5,83.5,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,67,2,3,1,1,1,2,2.4048,3073,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,85.98,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,104,2,3,1,1,1,2,2.3748,3073,0.0,0.0,0.3333333333333333,0.0,0.5,88.429,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,123,2,3,1,1,1,2,2.4154,3073,0.0,0.0,0.0,0.0,0.0,90.919,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,420,2,3,1,1,1,2,0.0111,3073,0.0,0.0,0.0,0.0,0.0,91.004,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,511,2,3,1,1,1,2,0.0111,3073,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,91.078,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,mean,0,0,0,0,0,0,1.9429599999999998,3073.0,0.06666666666666667,0.2,0.33333333333333337,0.1,0.2,586.667,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_constraints,std,0,0,0,0,0,0,0.9699005631506769,0.0,0.13333333333333333,0.4000000000000001,0.2581988897471611,0.20000000000000004,0.24494897427831783,586.667,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_facts,2,2,27416,1,1,7533,19883,0.0112,3073,0.24168005508377324,0.13978494623655913,0.6431281003793405,0.17712363330529857,0.4691305079891933,92.093,10,2026-07-20T16:01:08.028407+00:00
Falcon3-7B-Base,belief_bank_constraints,hidden,0,9,belief_bank_facts,4,2,27416,1,1,7533,19883,0.0112,3073,0.269092740666121,0.5673702376211337,0.45768894076451705,0.36504953877690466,0.48209347462424196,93.131,10,2026-07-20T16:01:08.028407+00:00
