model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,2,16830,7683,8415,8415,3606,4077,125.3385,3073,0.7280261175288799,0.8039378813089295,0.7670180918911883,0.7641012124406958,0.8388506007007916,172.762,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,4,16830,7683,8415,8415,3606,4077,117.9576,3073,0.728134110787172,0.8311148086522463,0.7750878563061304,0.7762237762237763,0.8391243112513401,292.016,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,24,16830,7683,8415,8415,3606,4077,123.6984,3073,0.7209985315712188,0.8169717138103162,0.7657165169855525,0.765990639625585,0.8383446374974476,416.99,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,42,16830,7683,8415,8415,3606,4077,125.5946,3073,0.7225632212128652,0.8161397670549085,0.7666276194194976,0.7665060554759734,0.8379614495286316,543.853,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,64,16830,7683,8415,8415,3606,4077,123.3284,3073,0.7300475356517389,0.8092068774265113,0.7700117141741507,0.7675917401025911,0.8378170440865801,668.459,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,67,16830,7683,8415,8415,3606,4077,121.3868,3073,0.7298752140934671,0.8272323904603439,0.775218013796694,0.7755102040816326,0.8427065933089741,791.165,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,104,16830,7683,8415,8415,3606,4077,130.9407,3073,0.721048798252003,0.8236272878535774,0.7676688793440063,0.7689320388349514,0.8374635466384683,923.378,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,123,16830,7683,8415,8415,3606,4077,123.0878,3073,0.7185759263744248,0.8227953410981698,0.765586359494989,0.7671622495151907,0.8361130190586615,1047.743,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,420,16830,7683,8415,8415,3606,4077,120.0629,3073,0.7298377028714107,0.8105934553521907,0.7702720291552779,0.7680988043621074,0.8359574584152458,1169.063,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,511,16830,7683,8415,8415,3606,4077,126.3981,3073,0.7287050713934022,0.8208541320022186,0.7724847064948588,0.7720396452790819,0.8386419848313749,1296.746,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,mean,0,0,0,0,0,0,123.77937999999999,3073.0,0.7257812229736582,0.8182473655019411,0.7695691787062345,0.7692156365941586,0.8382980645317515,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_constraints,std,0,0,0,0,0,0,3.4349102759169696,0.0,0.00421999471253548,0.008086210524063307,0.003478980926305486,0.00385735111073565,0.0017843073504376463,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,2,16830,27416,8415,8415,7533,19883,124.2635,3073,0.218045990428388,0.24797557414044868,0.5490224686314561,0.2320496894409938,0.4682017807626092,1423.006,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,4,16830,27416,8415,8415,7533,19883,118.9392,3073,0.2190554583804918,0.28262312491703173,0.526043186460461,0.24681196383028053,0.4672381486922177,1544.12,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,24,16830,27416,8415,8415,7533,19883,126.3259,3073,0.1981893809640323,0.21505376344086022,0.5452655383717537,0.20627745591137708,0.46178969485762256,1672.487,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,42,16830,27416,8415,8415,7533,19883,124.3854,3073,0.21089845178593197,0.229656179476968,0.5522322731251824,0.21987798678190137,0.4511220822349708,1798.89,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,64,16830,27416,8415,8415,7533,19883,124.3065,3073,0.19326482604927572,0.20722155847603876,0.5444995622993872,0.2,0.4559214748906885,1925.208,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,67,16830,27416,8415,8415,7533,19883,120.2989,3073,0.2224186704384724,0.2504978096375946,0.5534359498103297,0.2356246488106387,0.46047555886791036,2047.545,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,104,16830,27416,8415,8415,7533,19883,127.1591,3073,0.22691671263099836,0.2730651798752157,0.5446454625036475,0.2478611880949512,0.470275988420485,2176.968,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,123,16830,27416,8415,8415,7533,19883,126.0731,3073,0.2134133042529989,0.2597902562060268,0.5335205719288006,0.2343291624259115,0.4492988482823642,2305.049,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,420,16830,27416,8415,8415,7533,19883,112.6989,3073,0.20879609062638826,0.24956856498075136,0.5339582725415816,0.22736893027755942,0.4617640369932858,2419.656,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,511,16830,27416,8415,8415,7533,19883,118.194,3073,0.21044357102751263,0.24877206956060002,0.5371316019842428,0.22800827351259279,0.4658256608941413,2539.766,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,mean,0,0,0,0,0,0,122.26444999999998,3073.0,0.21214424565844903,0.24642240807115362,0.5419754887656842,0.2278209299086206,0.46119132748962943,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,belief_bank_facts,std,0,0,0,0,0,0,4.365917680453904,0.0,0.009873300965032868,0.022439415956504075,0.00850641359185001,0.014781285477349103,0.006793445992957125,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,2,16830,10000,8415,8415,3259,6741,117.2181,3073,0.33296903460837884,0.2804541270328322,0.5824,0.3044636908727515,0.5083491591006366,2658.242,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,4,16830,10000,8415,8415,3259,6741,112.1535,3073,0.3301171605789111,0.2939552009818963,0.5755,0.31098847589677,0.5063977203429991,2771.657,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,24,16830,10000,8415,8415,3259,6741,118.8831,3073,0.32356020942408376,0.2844430806996011,0.573,0.30274330502939256,0.5040735049366789,2891.8,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,42,16830,10000,8415,8415,3259,6741,117.2322,3073,0.32736213558131366,0.2859772936483584,0.5758,0.30527350147396004,0.5059510665954935,3010.278,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,64,16830,10000,8415,8415,3259,6741,117.0835,3073,0.3333333333333333,0.292420988033139,0.5788,0.3115397188623733,0.5074966592575629,3128.609,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,67,16830,10000,8415,8415,3259,6741,117.1463,3073,0.33370247323735697,0.2773857011353176,0.584,0.30294906166219837,0.5097092169168633,3247.027,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,104,16830,10000,8415,8415,3259,6741,127.9184,3073,0.3271349862258953,0.29150046026388465,0.5737,0.3082914165179296,0.5067112314447516,3376.27,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,123,16830,10000,8415,8415,3259,6741,117.1207,3073,0.3330197554092192,0.32586683031604785,0.5676,0.3294044665012407,0.50879535765961,3494.72,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,420,16830,10000,8415,8415,3259,6741,111.2007,3073,0.3253177602198557,0.29057993249463027,0.5724,0.30696920583468396,0.5082066168116874,3607.206,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,511,16830,10000,8415,8415,3259,6741,129.6888,3073,0.32731865752435946,0.27830622890457196,0.5784,0.30082918739635156,0.504815735357757,3738.184,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,mean,0,0,0,0,0,0,118.56452999999999,3073.0,0.3293835506142707,0.2900889843510279,0.57616,0.30834520300476514,0.507050626842404,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,0,25610,halu_eval,std,0,0,0,0,0,0,5.626282076300476,0.0,0.003531538456262183,0.013207925131625695,0.00465192433300457,0.007772208457221292,0.0017012387903478918,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,2,16830,7683,8415,8415,3606,4077,113.5227,3073,0.7512569462820852,0.7872989462007765,0.7778211636079656,0.768855788761002,0.8540639146784901,3853.841,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,4,16830,7683,8415,8415,3606,4077,112.568,3073,0.7436227776346302,0.800332778702163,0.776779903683457,0.7709362895685855,0.8535524078842243,3967.589,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,24,16830,7683,8415,8415,3606,4077,108.5561,3073,0.7422015983500903,0.7983915696062118,0.775218013796694,0.7692718770875083,0.8550298598893105,4077.351,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,42,16830,7683,8415,8415,3606,4077,111.0461,3073,0.7367605269956083,0.790904048807543,0.7692307692307693,0.7628728099505149,0.8499003037887826,4189.611,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,64,16830,7683,8415,8415,3606,4077,111.7058,3073,0.7392213221844787,0.7845257903494176,0.768970454249642,0.7612000538140724,0.8506245756432165,4302.518,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,67,16830,7683,8415,8415,3606,4077,113.0622,3073,0.7402731254831229,0.7967276760953965,0.7733958089288039,0.7674636035795379,0.8492055524062518,4416.822,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,104,16830,7683,8415,8415,3606,4077,132.2622,3073,0.7344105023983842,0.8067110371602884,0.7723545490042952,0.7688648077177217,0.8522818712605419,4550.369,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,123,16830,7683,8415,8415,3606,4077,125.342,3073,0.7357087926172776,0.7958957293399889,0.7700117141741507,0.7646196882909284,0.8465651026394159,4677.02,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,420,16830,7683,8415,8415,3606,4077,122.8973,3073,0.7402563431859795,0.7848031059345535,0.7697513991930236,0.7618791223583254,0.849786303072401,4801.228,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,511,16830,7683,8415,8415,3606,4077,116.5932,3073,0.7431408413901228,0.7886855241264559,0.7728751789665496,0.7652361092425669,0.8508687997316222,4919.136,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,mean,0,0,0,0,0,0,116.75556000000002,3073.0,0.7406852776521781,0.7934276206322795,0.7726408954835351,0.7661200150370763,0.8511878690994257,89742.907,10,2026-09-24T14:37:14.047481+00:00
Falcon3-7B-Base,belief_bank_constraints,mlp,1,25610,belief_bank_constraints,std,0,0,0,0,0,0,7.203383034547034,0.0,0.004590827820775982,0.006969895689060608,0.003027833647481725,0.0032514936486022525,0.0024323092226965354,89742.907,10,2026-09-24T14:37:14.047481+00:00
