model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,2,10546,8225,5273,5273,2260,5965,47.6838,3073,0.8593320235756385,0.9676991150442478,0.9475987841945289,0.9103017689906348,0.9718248781609535,73.503,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,4,10546,8225,5273,5273,2260,5965,48.1329,3073,0.8507404520654716,0.965929203539823,0.9440729483282675,0.9046829672606713,0.9714458975290967,122.543,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,24,10546,8225,5273,5273,2260,5965,49.2895,3073,0.8483080513418904,0.9650442477876107,0.9429787234042554,0.9029186503829435,0.9694013752790985,172.726,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,42,10546,8225,5273,5273,2260,5965,45.709,3073,0.8557956777996071,0.963716814159292,0.9454103343465046,0.9065556711758584,0.9686490145316707,219.336,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,64,10546,8225,5273,5273,2260,5965,49.0852,3073,0.8581001182499015,0.9632743362831858,0.9461398176291793,0.9076506149676882,0.9716330141162681,269.315,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,67,10546,8225,5273,5273,2260,5965,46.9093,3073,0.8615506329113924,0.963716814159292,0.9474772036474164,0.9097744360902256,0.9699984422405031,317.121,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,104,10546,8225,5273,5273,2260,5965,48.9246,3073,0.8478939157566303,0.9619469026548673,0.9421276595744681,0.9013266998341625,0.9681624001364894,366.945,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,123,10546,8225,5273,5273,2260,5965,48.814,3073,0.8498836307214895,0.9694690265486726,0.9445592705167173,0.9057461761058289,0.9720252357038478,416.663,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,420,10546,8225,5273,5273,2260,5965,43.8025,3073,0.8533701221915648,0.9579646017699115,0.9432218844984802,0.9026474880133417,0.9644706955767047,461.37,10,2026-09-18T18:11:25.176389+00:00
Falcon3-7B-Base,belief_bank_facts,attn,0,27416,belief_bank_facts,511,10546,8225,5273,5273,2260,5965,46.8958,3073,0.869582504970179,0.9676991150442478,0.9512462006079028,0.916020942408377,0.9730665608379264,509.179,10,2026-09-18T18:11:25.176389+00:00
