model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,2,10546,8225,5273,5273,2260,5965,72.3348,3073,0.6710875331564987,0.8955752212389381,0.8506990881458967,0.7672479150871873,0.9192412598565378,121.339,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,4,10546,8225,5273,5273,2260,5965,79.8934,3073,0.6604392002622091,0.8915929203539823,0.8442553191489361,0.7588024854076445,0.9137521604640642,202.369,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,24,10546,8225,5273,5273,2260,5965,76.0957,3073,0.665227499169711,0.886283185840708,0.8462006079027355,0.7600075886928477,0.9166516701407175,279.588,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,42,10546,8225,5273,5273,2260,5965,73.429,3073,0.6642359960225389,0.8867256637168142,0.8457142857142858,0.7595224559408755,0.9151735418258425,354.132,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,64,10546,8225,5273,5273,2260,5965,70.304,3073,0.6680892974392646,0.9004424778761062,0.849726443768997,0.7670561628345269,0.9156546669732734,425.563,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,67,10546,8225,5273,5273,2260,5965,77.3408,3073,0.6684315023163467,0.8938053097345132,0.8489969604863222,0.7648617947747065,0.9134186886632197,504.012,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,104,10546,8225,5273,5273,2260,5965,70.0321,3073,0.6697000337040782,0.8792035398230088,0.8476595744680852,0.760283145207576,0.9076033499247083,575.161,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,123,10546,8225,5273,5273,2260,5965,71.0843,3073,0.6583549222797928,0.8995575221238938,0.8441337386018237,0.7602842183994016,0.918297368870031,647.356,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,420,10546,8225,5273,5273,2260,5965,78.717,3073,0.6703187250996016,0.893362831858407,0.8499696048632219,0.7659332321699545,0.9136902580688233,727.222,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,511,10546,8225,5273,5273,2260,5965,66.4271,3073,0.6622821440315686,0.8911504424778761,0.8452279635258358,0.7598566308243727,0.9140114161517405,794.827,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,73.56582,3073.0,0.6658166853481611,0.8917699115044249,0.8472583586626141,0.7623855629339092,0.9147494380938959,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_facts,std,0,0,0,0,0,0,4.111006352658678,0.0,0.004184095862228374,0.006090141781977092,0.0023424694032151403,0.0032572464981818865,0.003047632477049718,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,2,10546,25068,5273,5273,11742,13326,66.0355,3073,0.41297735721527545,0.10407085675353432,0.5110499441519069,0.16624719406843072,0.49237144622184004,862.779,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,4,10546,25068,5273,5273,11742,13326,72.6802,3073,0.42888678650268053,0.11582353943110203,0.513602999840434,0.18239120230671227,0.4965888942035135,937.356,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,24,10546,25068,5273,5273,11742,13326,73.9616,3073,0.41777440182301556,0.09368080395162665,0.5143210467528323,0.15304347826086956,0.4901566709927557,1013.216,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,42,10546,25068,5273,5273,11742,13326,72.0959,3073,0.4296718972895863,0.12825753704649975,0.511927557044838,0.19754705843772546,0.5002595289187285,1087.231,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,64,10546,25068,5273,5273,11742,13326,68.8054,3073,0.43050236539761205,0.1627491057741441,0.5069810116483165,0.23620295408194797,0.4950473079560135,1157.93,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,67,10546,25068,5273,5273,11742,13326,73.5311,3073,0.451385833699956,0.17475728155339806,0.5139620232966332,0.25196463654223966,0.5061318727855252,1233.366,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,104,10546,25068,5273,5273,11742,13326,68.3015,3073,0.42665036674816625,0.14861182081417135,0.5076591670655817,0.22043961596766043,0.4916267948393589,1303.561,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,123,10546,25068,5273,5273,11742,13326,69.8961,3073,0.41079877539660453,0.1257026060296372,0.5060236157651189,0.19250081512879036,0.49346488102948194,1375.36,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,420,10546,25068,5273,5273,11742,13326,73.0504,3073,0.41682974559686886,0.12698007153806848,0.5078586245412479,0.194660225863307,0.4945091638674138,1450.304,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,511,10546,25068,5273,5273,11742,13326,66.3126,3073,0.46321213856284,0.1377959461761199,0.5213419498962821,0.21240564489661962,0.512850332245842,1518.522,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,mean,0,0,0,0,0,0,70.46703,3073.0,0.4288689668232606,0.13184295690683018,0.5114727940003191,0.2007402825554303,0.49730068930604726,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,belief_bank_constraints,std,0,0,0,0,0,0,2.837250891285434,0.0,0.01594303994086122,0.02381581444251933,0.0044057695818761405,0.028848188090381994,0.006812883836567489,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,2,10546,10000,5273,5273,3259,6741,66.0712,3073,0.3402722177742194,0.2608162012887389,0.5943,0.2952926871634532,0.5121302964428973,1585.803,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,4,10546,10000,5273,5273,3259,6741,73.5507,3073,0.339171974522293,0.3921448297023627,0.5529,0.3637398605379251,0.5125109023343388,1660.558,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,24,10546,10000,5273,5273,3259,6741,73.8873,3073,0.32260239339288727,0.5872967167842896,0.4636,0.4164490861618799,0.5057334864769631,1735.649,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,42,10546,10000,5273,5273,3259,6741,68.592,3073,0.33266569555717407,0.5606014114759128,0.4903,0.41755227973945835,0.5114500854593711,1805.447,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,64,10546,10000,5273,5273,3259,6741,69.2459,3073,0.3443867359168997,0.2644983123657564,0.5962,0.29920166608816384,0.5137034280111825,1875.9,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,67,10546,10000,5273,5273,3259,6741,73.2659,3073,0.3374905517762661,0.2740104326480515,0.5881,0.3024555461473328,0.5130323663171592,1950.374,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,104,10546,10000,5273,5273,3259,6741,69.2022,3073,0.34992954438703616,0.22859772936483583,0.6102,0.2765404602821084,0.5137176298933962,2020.786,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,123,10546,10000,5273,5273,3259,6741,70.2391,3073,0.33779527559055117,0.26327094200675055,0.5917,0.2959130884635282,0.508676257580084,2092.242,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,420,10546,10000,5273,5273,3259,6741,73.183,3073,0.3429971416904859,0.2577477753912243,0.5972,0.29432375613174494,0.5088521879478913,2166.641,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,511,10546,10000,5273,5273,3259,6741,66.6798,3073,0.32884645484426356,0.6446762810678122,0.4554,0.435530679933665,0.514796267399411,2234.529,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,mean,0,0,0,0,0,0,70.39171,3073.0,0.3376157985452076,0.3733660632095735,0.55399,0.339699911064926,0.5114602907862694,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,0,27416,halu_eval,std,0,0,0,0,0,0,2.7692197148113764,0.0,0.007501774269836183,0.15350012089765877,0.05741666047411673,0.05888763215745557,0.0026949866632682987,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,2,10546,8225,5273,5273,2260,5965,56.1308,3073,0.7768351161932866,0.9318584070796461,0.9077203647416413,0.8473144236572119,0.9502593298667003,2293.101,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,4,10546,8225,5273,5273,2260,5965,58.0194,3073,0.7747050147492626,0.929646017699115,0.9063829787234042,0.8451327433628318,0.9504001216535988,2352.277,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,24,10546,8225,5273,5273,2260,5965,60.3002,3073,0.7697344488905057,0.9362831858407079,0.9055319148936171,0.8448792174086645,0.9550242936302473,2413.726,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,42,10546,8225,5273,5273,2260,5965,59.1049,3073,0.7790220231429638,0.9234513274336283,0.9069908814589666,0.845110346223932,0.9489857502095559,2473.986,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,64,10546,8225,5273,5273,2260,5965,60.6087,3073,0.7787218322866643,0.9327433628318584,0.908693009118541,0.8488020938192068,0.9533725493105057,2535.759,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,67,10546,8225,5273,5273,2260,5965,60.5757,3073,0.7844088026855651,0.9305309734513274,0.9106382978723404,0.851244687310261,0.9554863547685986,2597.499,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,104,10546,8225,5273,5273,2260,5965,59.7284,3073,0.7760088855979267,0.9274336283185841,0.9065045592705168,0.8449909292481355,0.9478483632398431,2658.391,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,123,10546,8225,5273,5273,2260,5965,60.062,3073,0.7831236121391562,0.9362831858407079,0.9112462006079027,0.852881902458686,0.9510993331305774,2719.617,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,420,10546,8225,5273,5273,2260,5965,58.6273,3073,0.7783964365256125,0.9278761061946903,0.9075987841945289,0.8465886152603956,0.9479794375746426,2779.415,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,511,10546,8225,5273,5273,2260,5965,63.1643,3073,0.7951533510034078,0.9292035398230089,0.9147720364741642,0.8569679657212814,0.950644838252639,2843.749,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,mean,0,0,0,0,0,0,59.63217000000001,3073.0,0.7796109523214352,0.9305309734513274,0.9086079027355621,0.8483912924470607,0.951110037163691,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_facts,std,0,0,0,0,0,0,1.7637595210515513,0.0,0.006494847333902045,0.003770160779493922,0.0026896793757535124,0.0038951855589321044,0.0025688225679335133,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,2,10546,25068,5273,5273,11742,13326,56.5175,3073,0.4447163515016685,0.34048714018054843,0.491941917983086,0.38568396681458617,0.48891558215986597,2902.161,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,4,10546,25068,5273,5273,11742,13326,58.194,3073,0.448293745462089,0.36808039516266394,0.4918222434976863,0.40424636393396624,0.4873677105187618,2962.224,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,24,10546,25068,5273,5273,11742,13326,60.3609,3073,0.4386467143786597,0.28708908192812127,0.4939763842348811,0.3470427755186081,0.49452246960151025,3024.454,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,42,10546,25068,5273,5273,11742,13326,58.991,3073,0.44970724460368783,0.43825583375915517,0.4856789532471677,0.4439076989432823,0.4884025636685767,3085.339,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,64,10546,25068,5273,5273,11742,13326,61.711,3073,0.4427838501003792,0.33810253789814343,0.4906653901388224,0.3834266949971026,0.4852978284709631,3148.917,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,67,10546,25068,5273,5273,11742,13326,60.6656,3073,0.44972559780478244,0.39081928121274057,0.4906653901388224,0.4182083295361341,0.4890463036478955,3211.472,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,104,10546,25068,5273,5273,11742,13326,59.7011,3073,0.4503382684576919,0.3911599386816556,0.4911839795755545,0.4186682466615013,0.49177066868126473,3273.062,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,123,10546,25068,5273,5273,11742,13326,60.1358,3073,0.4472855643545463,0.399250553568387,0.4875139620232966,0.4219052333168339,0.4874324241899729,3335.082,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,420,10546,25068,5273,5273,11742,13326,58.6966,3073,0.4351279788172992,0.2939022313064214,0.4905457156534227,0.35083617140242973,0.4875978799070199,3395.648,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,511,10546,25068,5273,5273,11742,13326,64.357,3073,0.4379092893524133,0.3075285300630216,0.4907451731290889,0.36131679007404444,0.4878083655003609,3461.894,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,mean,0,0,0,0,0,0,59.93305,3073.0,0.44445346048332174,0.35546755237608585,0.4904739109621829,0.39352422711984886,0.4888161796346192,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,belief_bank_constraints,std,0,0,0,0,0,0,2.016273215737391,0.0,0.005283588178565906,0.04769028834025486,0.0022056642205473616,0.03143884679179711,0.0024579716674593207,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,2,10546,10000,5273,5273,3259,6741,56.7477,3073,0.3605655930871956,0.140840748695919,0.6386,0.20255957634598412,0.5123035639577896,3519.834,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,4,10546,10000,5273,5273,3259,6741,58.1199,3073,0.3219223173140224,0.45013807916538817,0.5118,0.37538382804503584,0.5038317543070735,3579.152,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,24,10546,10000,5273,5273,3259,6741,60.5849,3073,0.3237032173342088,0.45382019024240566,0.513,0.3778742973939704,0.5029154142723181,3640.928,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,42,10546,10000,5273,5273,3259,6741,59.1419,3073,0.32475247524752476,0.4528996624731513,0.5148,0.37826755509994875,0.5045403462956006,3701.263,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,64,10546,10000,5273,5273,3259,6741,61.8416,3073,0.31938325991189426,0.3559374041116907,0.5429,0.33667102017123784,0.505650278013224,3764.283,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,67,10546,10000,5273,5273,3259,6741,60.6971,3073,0.3224956063268893,0.4504449217551396,0.5125,0.37588016899244653,0.5042162293010412,3826.169,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,104,10546,10000,5273,5273,3259,6741,59.4962,3073,0.3556019485038274,0.15679656336299477,0.6326,0.2176320272572402,0.5124470166238038,3886.858,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,123,10546,10000,5273,5273,3259,6741,59.9592,3073,0.3205069124423963,0.4268180423442774,0.5183,0.36610080273720225,0.5016564310697308,3948.03,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,420,10546,10000,5273,5273,3259,6741,59.0236,3073,0.3242600993735148,0.4605707272169377,0.5114,0.38057809330628806,0.5041736236544001,4008.281,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,511,10546,10000,5273,5273,3259,6741,64.9827,3073,0.3404381290704559,0.17643448910708806,0.6202,0.2324171382376718,0.5053520384867367,4074.484,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,mean,0,0,0,0,0,0,60.05948000000001,3073.0,0.33136295586119296,0.35247008284749926,0.5516099999999999,0.32433645075870254,0.5057086695981718,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,1,27416,halu_eval,std,0,0,0,0,0,0,2.1229430165692134,0.0,0.014507324047809807,0.13068476329399614,0.05252963830067745,0.0712471619512364,0.0035031841862121524,52333.13,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,2,27416,belief_bank_facts,2,10546,8225,5273,5273,2260,5965,59.8961,3073,0.7784364579473879,0.929646017699115,0.9079635258358663,0.847348255696713,0.9516085721279737,4136.707,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,2,27416,belief_bank_facts,4,10546,8225,5273,5273,2260,5965,59.0733,3073,0.7756079587324981,0.9314159292035398,0.907112462006079,0.8464012866907921,0.9522162837792729,4196.943,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,2,27416,belief_bank_facts,24,10546,8225,5273,5273,2260,5965,61.5752,3073,0.7772039837698266,0.9323008849557523,0.9079635258358663,0.8477167571917119,0.9533470317263685,4259.682,10,2026-07-31T10:58:28.645039+00:00
Falcon3-7B-Base,belief_bank_facts,hidden,2,27416,belief_bank_facts,42,10546,8225,5273,5273,2260,5965,60.0515,3073,0.7812852311161218,0.9199115044247788,0.9072340425531915,0.844950213371266,0.9516297131497157,4320.896,10,2026-07-31T10:58:28.645039+00:00
