model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,2,10546,8225,5273,5273,2260,5965,54.5301,3073,0.659016393442623,0.8893805309734514,0.843161094224924,0.7570621468926554,0.9141846983510002,78.61,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,4,10546,8225,5273,5273,2260,5965,54.601,3073,0.65234375,0.8867256637168142,0.8390273556231003,0.7516879219804952,0.9089675763487602,134.114,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,24,10546,8225,5273,5273,2260,5965,52.4445,3073,0.659906914893617,0.8783185840707964,0.8421884498480243,0.7536066818526955,0.912148817957258,187.427,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,42,10546,8225,5273,5273,2260,5965,53.4751,3073,0.6533903884134299,0.8783185840707964,0.8385410334346505,0.7493393733484334,0.9104192598417018,241.812,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,64,10546,8225,5273,5273,2260,5965,53.0588,3073,0.6629434954007885,0.8929203539823009,0.8458358662613982,0.7609351432880844,0.9107067777373916,295.779,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,67,10546,8225,5273,5273,2260,5965,54.6838,3073,0.6620507748104187,0.8884955752212389,0.844741641337386,0.7587379557906669,0.9092476021630602,351.376,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,104,10546,8225,5273,5273,2260,5965,52.5996,3073,0.6591211717709721,0.8761061946902655,0.8414589665653496,0.7522796352583586,0.9027355740343747,404.898,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,123,10546,8225,5273,5273,2260,5965,50.9192,3073,0.6514616125923547,0.8973451327433628,0.8398784194528875,0.7548855388051368,0.9125749022691363,456.729,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,420,10546,8225,5273,5273,2260,5965,51.1127,3073,0.6635792259345021,0.8876106194690265,0.8454711246200608,0.7594169979178497,0.9093905451416447,508.748,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,511,10546,8225,5273,5273,2260,5965,51.921,3073,0.6548788474132285,0.8849557522123894,0.8402431610942249,0.7527286413248024,0.910066983658361,561.55,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,52.934580000000004,3073.0,0.6578692574671934,0.8860176991150442,0.8420547112462005,0.7550680036459179,0.9100442737502688,37945.821,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_facts,std,0,0,0,0,0,0,1.3210125084949047,0.0,0.004283269100317539,0.006437102688112676,0.002536025664180336,0.003611658359771607,0.0029016333379459267,37945.821,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,2,10546,25610,5273,5273,12021,13589,54.1709,3073,0.4271641791044776,0.119041677065136,0.5115579851620461,0.18619478238240844,0.5019375113102198,617.242,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,4,10546,25610,5273,5273,12021,13589,55.7252,3073,0.43478260869565216,0.11812661176274852,0.5139789144865287,0.18577876627199583,0.5083490350296969,674.487,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,24,10546,25610,5273,5273,12021,13589,51.6514,3073,0.41995030173943915,0.09841111388403627,0.5130027333073018,0.15945545221727997,0.4961279249771703,727.665,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,42,10546,25610,5273,5273,12021,13589,50.8499,3073,0.46577413085726627,0.17943598702271027,0.5182350644279579,0.25906797982224355,0.5080996370512566,780.04,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,64,10546,25610,5273,5273,12021,13589,51.218,3073,0.43359567142154454,0.14666001164628567,0.5095275283092542,0.21918319139678,0.5040179489655949,832.776,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,67,10546,25610,5273,5273,12021,13589,53.0791,3073,0.4555457746478873,0.17219865235837284,0.5148379539242484,0.24992453969212194,0.5089734482305045,887.379,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,104,10546,25610,5273,5273,12021,13589,52.4351,3073,0.4362530413625304,0.14915564428916064,0.5101522842639594,0.2223048788047858,0.49680137910103345,941.324,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,123,10546,25610,5273,5273,12021,13589,48.6492,3073,0.4549568965517241,0.1756093503036353,0.5142912924638813,0.2534061580937519,0.5089192865070324,991.488,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,420,10546,25610,5273,5273,12021,13589,50.2627,3073,0.4190751445086705,0.1206222444056235,0.5087465833658728,0.1873264001033525,0.5079803435214121,1043.267,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,511,10546,25610,5273,5273,12021,13589,52.3271,3073,0.47263824884792627,0.1365111055652608,0.5231940648184303,0.2118376040792616,0.5144886298610714,1097.107,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,mean,0,0,0,0,0,0,52.036860000000004,3073.0,0.44197359977371187,0.14157723983029696,0.5137524404529481,0.21344797528639817,0.5055695144554992,37945.821,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,belief_bank_constraints,std,0,0,0,0,0,0,1.9062776918382063,0.0,0.018007955419284738,0.026454267133473198,0.0041473544223446426,0.03198149866017926,0.005512896889159773,37945.821,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,2,10546,10000,5273,5273,3259,6741,54.5439,3073,0.31798245614035087,0.3114452285977294,0.5579,0.3146798945899861,0.49952569354914544,1152.599,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,4,10546,10000,5273,5273,3259,6741,55.8936,3073,0.3305351521511018,0.5799324946302546,0.4803,0.42107608332405033,0.5021726148655744,1209.453,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,24,10546,10000,5273,5273,3259,6741,51.3205,3073,0.32689103632122624,0.6020251610923596,0.4663,0.423712342079689,0.5015712425358754,1261.732,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,42,10546,10000,5273,5273,3259,6741,51.3701,3073,0.32971308153671586,0.6241178275544645,0.464,0.43148069579974546,0.502999851745095,1314.061,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,64,10546,10000,5273,5273,3259,6741,50.2072,3073,0.3217179902755267,0.24363301626265726,0.5861,0.27728304522437575,0.4945354616674585,1365.224,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,67,10546,10000,5273,5273,3259,6741,52.7719,3073,0.3213367609254499,0.2684872660325253,0.5768,0.29254429956536276,0.49714298641640037,1418.965,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,104,10546,10000,5273,5273,3259,6741,53.8236,3073,0.3166058394160584,0.2129487572875115,0.5937,0.25463217758209505,0.4994703198641682,1473.763,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,123,10546,10000,5273,5273,3259,6741,49.9988,3073,0.3235457063711911,0.3583921448297024,0.5467,0.3400786140631824,0.500850610810664,1524.736,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,420,10546,10000,5273,5273,3259,6741,49.4311,3073,0.32500960430272763,0.25958883092973306,0.583,0.28863868986693964,0.5047044190021366,1575.129,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,511,10546,10000,5273,5273,3259,6741,50.3196,3073,0.32800885655543255,0.6363915311445228,0.4566,0.4328950114798581,0.5033299317094301,1626.424,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,mean,0,0,0,0,0,0,51.96803000000001,3073.0,0.32413464839957806,0.40969622583614607,0.5311400000000001,0.34770208535752845,0.5006303132165948,37945.821,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,0,27416,halu_eval,std,0,0,0,0,0,0,2.07468293580007,0.0,0.004516699828467557,0.1686363883498606,0.05433211205171393,0.06836540813753067,0.002910120220742148,37945.821,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,1,27416,belief_bank_facts,2,10546,8225,5273,5273,2260,5965,53.512,3073,0.7208086441268735,0.9150442477876106,0.8792705167173253,0.8063950087736401,0.9365982612436856,1681.592,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,1,27416,belief_bank_facts,4,10546,8225,5273,5273,2260,5965,49.5909,3073,0.7255109231853418,0.9110619469026549,0.8808510638297873,0.8077677520596312,0.9354347261681343,1732.091,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,1,27416,belief_bank_facts,24,10546,8225,5273,5273,2260,5965,49.8525,3073,0.7263120817189151,0.9123893805309734,0.8814589665653495,0.8087860364777407,0.9382652864422998,1782.847,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,1,27416,belief_bank_facts,42,10546,8225,5273,5273,2260,5965,49.797,3073,0.7277280858676207,0.9,0.88,0.8047477744807122,0.9316166576415521,1833.494,10,2026-09-18T18:11:25.176484+00:00
Falcon3-7B-Base,belief_bank_facts,mlp,1,27416,belief_bank_facts,64,10546,8225,5273,5273,2260,5965,48.2672,3073,0.7235459004905396,0.9137168141592921,0.8803647416413374,0.8075870160344153,0.9350740677551201,1882.667,10,2026-09-18T18:11:25.176484+00:00
