model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,2,2760,8225,1380,1380,591,7634,14.3597,4097,0.36486486486486486,0.9137055837563451,0.8795136778115501,0.521487204249155,0.9409320534592992,69.692,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,4,2760,8225,1380,1380,591,7634,11.8084,4097,0.3862212943632568,0.9390862944162437,0.8883890577507598,0.5473372781065089,0.9517059445964198,82.255,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,24,2760,8225,1380,1380,591,7634,12.1587,4097,0.37731958762886597,0.9289340101522843,0.884741641337386,0.5366568914956011,0.9469060844995251,95.136,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,42,2760,8225,1380,1380,591,7634,12.241,4097,0.36752136752136755,0.9458544839255499,0.8791489361702127,0.5293560606060606,0.9502425253131087,108.115,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,64,2760,8225,1380,1380,591,7634,12.5405,4097,0.38797423049391555,0.9170896785109983,0.8900911854103344,0.545271629778672,0.9405950403551304,121.392,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,67,2760,8225,1380,1380,591,7634,11.6749,4097,0.3687038280725319,0.9289340101522843,0.8806079027355623,0.5278846153846154,0.9455559264435929,133.791,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,104,2760,8225,1380,1380,591,7634,11.8755,4097,0.36069812540400775,0.9441624365482234,0.8757446808510638,0.5219831618334893,0.9446915061172146,146.378,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,123,2760,8225,1380,1380,591,7634,12.007,4097,0.3635765943458251,0.9357021996615905,0.8776899696048632,0.5236742424242424,0.9479647777531012,159.119,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,420,2760,8225,1380,1380,591,7634,8.6359,4097,0.3584784010315925,0.9407783417935702,0.8747720364741641,0.5191409897292251,0.9507872209418458,168.475,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,511,2760,8225,1380,1380,591,7634,7.79,4097,0.36309914642153646,0.9357021996615905,0.8774468085106383,0.5231788079470199,0.9418056721045355,176.981,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,11.509160000000001,4097.0,0.3698457440147765,0.9329949238578681,0.8808145896656535,0.5295970881554589,0.9461186751583774,5800.214,10,2026-07-20T00:19:11.708577+00:00
