model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,2,14026,7706,7013,7013,3005,4701,49.7774,3585,0.8663303909205549,0.9144758735440932,0.9116273033999481,0.889752306945119,0.9757567777734124,81.74,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,4,14026,7706,7013,7013,3005,4701,47.029,3585,0.8712871287128713,0.907820299500832,0.9117570724111083,0.8891786179921773,0.9768342558899035,129.888,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,24,14026,7706,7013,7013,3005,4701,48.1567,3585,0.8666251168588345,0.9254575707154742,0.915390604723592,0.8950756356614097,0.9776767147995913,179.162,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,42,14026,7706,7013,7013,3005,4701,50.9548,3585,0.8692501575299307,0.9181364392678869,0.9142226836231508,0.8930247612882344,0.9776542747126766,231.235,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,64,14026,7706,7013,7013,3005,4701,49.1135,3585,0.8518518518518519,0.9184692179700499,0.9059174669089022,0.8839071257005604,0.9771097663576377,281.468,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,67,14026,7706,7013,7013,3005,4701,49.6214,3585,0.8607356177302735,0.9111480865224626,0.9078640020763041,0.8852247009376011,0.9752376118509144,332.208,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,104,14026,7706,7013,7013,3005,4701,49.3426,3585,0.865366467442592,0.9154742096505823,0.911497534388788,0.8897153945666235,0.9774673211809999,382.675,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,123,14026,7706,7013,7013,3005,4701,48.0538,3585,0.8620031796502384,0.9021630615640599,0.9055281598754218,0.8816260162601626,0.9746502762006597,431.859,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,420,14026,7706,7013,7013,3005,4701,47.7321,3585,0.8623709727869878,0.9174708818635607,0.9107189203218271,0.8890680425669139,0.9758880912157677,480.721,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,511,14026,7706,7013,7013,3005,4701,50.2677,3585,0.8523780111179741,0.9184692179700499,0.9061770049312224,0.8841902931283037,0.9753884630345582,532.122,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,mean,0,0,0,0,0,0,49.004900000000006,3585.0,0.8628198894602109,0.9149084858569051,0.9100700752660265,0.8880762895047105,0.9763663553016123,30891.725,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_constraints,std,0,0,0,0,0,0,1.1682325410636343,0.0,0.006171501644808858,0.006172215165046669,0.003334331346640256,0.0040421912208297,0.0010552288421256661,30891.725,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_facts,2,14026,27416,7013,7013,3556,23860,47.085,3585,0.11202960542125247,0.655511811023622,0.2814050189670266,0.19135574436645733,0.3236207861381116,581.088,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_facts,4,14026,27416,7013,7013,3556,23860,44.7321,3585,0.06478010994502749,0.2916197975253093,0.3620513568718996,0.10601104068697607,0.3404302563604528,627.708,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_facts,24,14026,27416,7013,7013,3556,23860,51.4066,3585,0.10878470641784252,0.6048931383577053,0.3059892033848847,0.18440567533970595,0.3373497633835167,681.015,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_facts,42,14026,27416,7013,7013,3556,23860,51.7683,3585,0.06267359014611762,0.29190101237345334,0.34191712868398016,0.10319117208470027,0.3229307784819018,734.689,10,2026-09-18T18:11:22.046853+00:00
Qwen2.5-7B,belief_bank_constraints,attn,0,25686,belief_bank_facts,64,14026,27416,7013,7013,3556,23860,46.7314,3585,0.04643898375676801,0.18813273340832395,0.3936387510942515,0.07449059124819063,0.3119287661339063,783.328,10,2026-09-18T18:11:22.046853+00:00
