model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,2,14026,7706,7013,7013,3005,4701,55.9564,3585,0.8744038155802861,0.9151414309484193,0.9156501427459123,0.8943089430894309,0.9773413169074727,86.647,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,4,14026,7706,7013,7013,3005,4701,59.4618,3585,0.8718609143593046,0.9011647254575708,0.9098105372437062,0.8862706594665357,0.9767011019356874,147.209,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,24,14026,7706,7013,7013,3005,4701,52.3917,3585,0.8615432482887367,0.9214642262895175,0.9116273033999481,0.8904968644476604,0.9769155215674364,200.706,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,42,14026,7706,7013,7013,3005,4701,57.295,3585,0.8751994893073731,0.9124792013311148,0.9151310667012718,0.8934506353861192,0.9781877399965525,259.103,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,64,14026,7706,7013,7013,3005,4701,56.6859,3585,0.8689611619829491,0.9158069883527454,0.9133143005450298,0.8917692806221647,0.9777614491340922,316.905,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,67,14026,7706,7013,7013,3005,4701,56.9929,3585,0.8622432859399684,0.908153078202995,0.9076044640539839,0.8846029173419773,0.9757967735119197,375.011,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,104,14026,7706,7013,7013,3005,4701,61.8822,3585,0.8800767508794372,0.9158069883527454,0.9185050609914353,0.8975864318330071,0.9803436872743825,438.003,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,123,14026,7706,7013,7013,3005,4701,50.8335,3585,0.8631214600377596,0.9128119800332779,0.9095509992213859,0.8872715510270095,0.9755857517482207,489.944,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,420,14026,7706,7013,7013,3005,4701,56.6427,3585,0.8681803847366761,0.9161397670549085,0.9130547625227096,0.8915155440414507,0.9773156205303435,547.694,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,511,14026,7706,7013,7013,3005,4701,54.2921,3585,0.855600123418698,0.9227953410981697,0.9091616921879055,0.8879282740954211,0.9759470583842218,603.1,10,2026-09-18T18:11:20.909992+00:00
Qwen2.5-7B,belief_bank_constraints,hidden,0,25686,belief_bank_constraints,mean,0,0,0,0,0,0,56.24341999999999,3585.0,0.8681190634531187,0.9141763727121462,0.9123410329613287,0.8905201101350777,0.9771896020990329,25443.341,10,2026-09-18T18:11:20.909992+00:00
