model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,2,14026,7706,7013,7013,3005,4701,55.2129,3585,0.8697293895531781,0.9198003327787022,0.9150012976901116,0.8940643700469028,0.9791773690661633,84.596,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,4,14026,7706,7013,7013,3005,4701,57.0922,3585,0.8770571151984511,0.9044925124792014,0.9133143005450298,0.8905635648754915,0.9776479037100825,142.812,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,24,14026,7706,7013,7013,3005,4701,51.0342,3585,0.8652037617554859,0.9184692179700499,0.9124059174669089,0.8910411622276029,0.9787501579477726,194.974,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,42,14026,7706,7013,7013,3005,4701,56.036,3585,0.8808675946908384,0.9054908485856905,0.915390604723592,0.893009517558254,0.9782525826451764,252.146,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,64,14026,7706,7013,7013,3005,4701,59.2051,3585,0.8628553577007185,0.919134775374376,0.911497534388788,0.8901063486948114,0.977884551061993,312.483,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,67,14026,7706,7013,7013,3005,4701,58.5287,3585,0.8667721518987341,0.9114808652246256,0.9108486893329872,0.8885644768856448,0.9772795181823104,372.151,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,104,14026,7706,7013,7013,3005,4701,58.5916,3585,0.8829719387755102,0.9214642262895175,0.9217492862704386,0.9018075232046898,0.9802569000612678,431.877,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,123,14026,7706,7013,7013,3005,4701,51.2057,3585,0.8712839974699558,0.9168053244592346,0.9147417596677914,0.8934652180963191,0.9766857407405442,484.225,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,420,14026,7706,7013,7013,3005,4701,52.6406,3585,0.872715816005041,0.9217970049916805,0.9170776018686737,0.8965852079624534,0.978111500332177,538.016,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,511,14026,7706,7013,7013,3005,4701,51.4356,3585,0.8630265210608424,0.9204658901830283,0.9120166104334285,0.8908212560386474,0.976620190202743,590.603,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,mean,0,0,0,0,0,0,55.098259999999996,3585.0,0.8712483644108755,0.9159400998336105,0.9144043602387748,0.8930028645590816,0.9780666413950231,27870.011,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_constraints,std,0,0,0,0,0,0,3.11174470488824,0.0,0.006802869326345223,0.0061455135912086775,0.0030742933333609557,0.003665279949657893,0.0010659220935172718,27870.011,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,2,14026,27416,7013,7013,3556,23860,55.6684,3585,0.021781625244345154,0.043869516310461196,0.6204406186168661,0.02910990856503079,0.2818507166382073,648.192,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,4,14026,27416,7013,7013,3556,23860,54.8162,3585,0.035316217908578584,0.07930258717660292,0.5996133644587103,0.04886924876527164,0.3126487044316443,704.938,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,24,14026,27416,7013,7013,3556,23860,49.4405,3585,0.027713113845471676,0.0703037120359955,0.5594908082871316,0.039755108531446294,0.294805009442973,756.291,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,42,14026,27416,7013,7013,3556,23860,54.3161,3585,0.03216736025194016,0.08042744656917886,0.566858768602276,0.04595484855788543,0.2959813856042513,812.524,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,64,14026,27416,7013,7013,3556,23860,56.9168,3585,0.027455357142857142,0.06917885264341957,0.5614239859935803,0.039309683604985615,0.277436975344553,871.353,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,67,14026,27416,7013,7013,3556,23860,56.131,3585,0.03523194362889019,0.10123734533183353,0.5238546833965567,0.052272397270219255,0.267713954290919,929.386,10,2026-09-18T18:11:21.036889+00:00
Qwen2.5-7B,belief_bank_constraints,mlp,0,25686,belief_bank_facts,104,14026,27416,7013,7013,3556,23860,57.9864,3585,0.022216855831924655,0.05174353205849269,0.58163116428363,0.031086332150701133,0.2807207067473648,989.274,10,2026-09-18T18:11:21.036889+00:00
