model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,2,4978,8225,2489,2489,1067,7158,9.4798,3585,0.8437246963562753,0.9765698219306467,0.9734954407294832,0.9052997393570807,0.9845045280013869,70.274,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,4,4978,8225,2489,2489,1067,7158,8.8348,3585,0.8401639344262295,0.9606373008434864,0.9711854103343465,0.8963707914298207,0.9875693707409645,79.812,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,24,4978,8225,2489,2489,1067,7158,8.9637,3585,0.8615512927439533,0.9681349578256795,0.9756838905775076,0.911738746690203,0.985495024213148,89.468,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,42,4978,8225,2489,2489,1067,7158,9.8704,3585,0.8281622911694511,0.9756326148078726,0.9705775075987841,0.8958691910499139,0.9906277978408361,100.034,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,64,4978,8225,2489,2489,1067,7158,9.2797,3585,0.8384244372990354,0.9775070290534208,0.9726443768996961,0.9026395499783644,0.9884534197061741,110.004,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,67,4978,8225,2489,2489,1067,7158,8.0058,3585,0.8424489795918367,0.9671977507029054,0.9722796352583587,0.900523560209424,0.9888679485900389,118.706,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,104,4978,8225,2489,2489,1067,7158,8.0872,3585,0.8362903225806452,0.971883786316776,0.9716717325227964,0.8990030342436064,0.9860015978870812,127.49,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,123,4978,8225,2489,2489,1067,7158,9.2651,3585,0.8001543209876543,0.971883786316776,0.9648632218844985,0.8776978417266187,0.9875435772507177,137.452,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,420,4978,8225,2489,2489,1067,7158,8.0624,3585,0.8352180936995154,0.9690721649484536,0.9711854103343465,0.897180043383948,0.9865592348158174,146.212,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,511,4978,8225,2489,2489,1067,7158,7.6084,3585,0.8158307210031348,0.9756326148078726,0.9682674772036474,0.8886043533930857,0.9894657814655049,154.517,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,8.745729999999998,3585.0,0.834196908985773,0.971415182755389,0.9711854103343466,0.8974926851462067,0.987508828051167,4356.485,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_facts,std,0,0,0,0,0,0,0.7180301178223654,0.0,0.015807186878165132,0.004998926093006402,0.002792649854622132,0.008812992292262744,0.0018043466668045676,4356.485,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_constraints,2,4978,25696,2489,2489,10021,15675,7.9711,3585,0.38571428571428573,0.0026943418820477,0.6093944582814446,0.005351303141413141,0.6352691564620199,163.832,10,2026-07-20T23:10:14.237729+00:00
Qwen2.5-7B,belief_bank_facts,attn,0,27416,belief_bank_constraints,4,4978,25696,2489,2489,10021,15675,7.4878,3585,0.45,0.0053886837640954,0.6095501245330013,0.010649837294152451,0.5698236955980958,172.704,10,2026-07-20T23:10:14.237729+00:00
