model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,2,4978,8225,2489,2489,1067,7158,11.6469,3585,0.8547854785478548,0.9709465791940018,0.9748328267477203,0.9091706888986397,0.9842252512770395,99.316,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,4,4978,8225,2489,2489,1067,7158,11.9031,3585,0.8528678304239401,0.9615745079662605,0.9734954407294832,0.9039647577092511,0.9857871322169073,111.921,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,24,4978,8225,2489,2489,1067,7158,10.9003,3585,0.8508333333333333,0.9568884723523898,0.9726443768996961,0.9007498897220997,0.9849680252372935,123.541,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,42,4978,8225,2489,2489,1067,7158,11.9609,3585,0.8293650793650794,0.979381443298969,0.9711854103343465,0.8981521272024066,0.9915397351990538,136.209,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,64,4978,8225,2489,2489,1067,7158,12.2617,3585,0.8362903225806452,0.971883786316776,0.9716717325227964,0.8990030342436064,0.9861995661980107,149.182,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,67,4978,8225,2489,2489,1067,7158,11.9006,3585,0.8508196721311475,0.9728209934395501,0.9743465045592705,0.9077393965894185,0.991097972579294,161.8,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,104,4978,8225,2489,2489,1067,7158,11.9393,3585,0.8133858267716535,0.9681349578256795,0.9670516717325228,0.8840393667094566,0.9871831230443755,174.472,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,123,4978,8225,2489,2489,1067,7158,11.275,3585,0.797847809377402,0.9728209934395501,0.9644984802431611,0.8766891891891891,0.9871532706800289,186.454,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,420,4978,8225,2489,2489,1067,7158,8.6846,3585,0.8336012861736335,0.971883786316776,0.9711854103343465,0.8974469926438771,0.9851790866904804,195.883,10,2026-07-20T17:12:25.273209+00:00
Qwen2.5-7B,belief_bank_facts,hidden,0,27416,belief_bank_facts,511,4978,8225,2489,2489,1067,7158,10.6283,3585,0.8222748815165877,0.9756326148078726,0.969483282674772,0.8924132018859837,0.9891065056419659,207.218,10,2026-07-20T17:12:25.273209+00:00
