model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,2,4978,8225,2489,2489,1067,7158,11.0118,3585,0.8565539983511954,0.9737582005623243,0.9754407294832826,0.9114035087719298,0.9852610497610109,40.463,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,4,4978,8225,2489,2489,1067,7158,11.559,3585,0.8550124275062138,0.9671977507029054,0.9744680851063829,0.9076517150395779,0.9889067042911203,52.791,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,24,4978,8225,2489,2489,1067,7158,11.4101,3585,0.8768177929854577,0.9606373008434864,0.977386018237082,0.9168157423971377,0.9855319468743136,64.942,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,42,4978,8225,2489,2489,1067,7158,13.3521,3585,0.833998403830806,0.979381443298969,0.9720364741641337,0.9008620689655172,0.9926319651261537,79.031,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,64,4978,8225,2489,2489,1067,7158,11.4302,3585,0.8365695792880259,0.9690721649484536,0.9714285714285714,0.8979591836734694,0.9897918007077106,91.226,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,67,4978,8225,2489,2489,1067,7158,11.5009,3585,0.8474714518760196,0.9737582005623243,0.9738601823708206,0.9062363715656345,0.9914022572053525,103.492,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,104,4978,8225,2489,2489,1067,7158,12.0826,3585,0.8234362628661916,0.9746954076850984,0.9696048632218845,0.8927038626609443,0.9897636504518574,116.307,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,123,4978,8225,2489,2489,1067,7158,12.0356,3585,0.8294820717131474,0.9756326148078726,0.9708206686930091,0.896640826873385,0.9889927262357504,129.093,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,420,4978,8225,2489,2489,1067,7158,10.4067,3585,0.8461538461538461,0.9690721649484536,0.9731306990881459,0.9034512887723897,0.9851555190344174,140.24,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,511,4978,8225,2489,2489,1067,7158,11.9635,3585,0.841000807102502,0.9765698219306467,0.9730091185410334,0.9037294015611448,0.9904882249443737,152.96,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,11.67525,3585.0,0.8446496641673406,0.9719775070290535,0.9731185410334346,0.9037453970281131,0.9887925844632062,4936.843,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_facts,std,0,0,0,0,0,0,0.7358227466584599,0.0,0.014718115128208562,0.005208882186163165,0.0021826671319699056,0.006820673556090499,0.0025050479921855137,4936.843,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_constraints,2,4978,25686,2489,2489,10018,15668,8.9288,3585,0.3117254528122021,0.03264124575763625,0.594604064470918,0.05909460558416915,0.5834188147318997,163.361,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_constraints,4,4978,25686,2489,2489,10018,15668,9.937,3585,0.4,0.10461169894190457,0.5895818733940668,0.1658490267447381,0.6363047599335239,174.766,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_constraints,24,4978,25686,2489,2489,10018,15668,9.816,3585,0.40437746681019016,0.11249750449191455,0.5892314879701005,0.1760249902381882,0.5884300013868322,186.016,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_constraints,42,4978,25686,2489,2489,10018,15668,11.9226,3585,0.4632445250383596,0.3315032940706728,0.5894650782527446,0.38645487868738,0.6269135966289529,199.379,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_constraints,64,4978,25686,2489,2489,10018,15668,9.6584,3585,0.3995726495726496,0.07466560191655021,0.5953437670326248,0.12582001682085786,0.65614564195477,210.519,10,2026-09-18T18:11:20.653599+00:00
Qwen2.5-7B,belief_bank_facts,mlp,0,27416,belief_bank_constraints,67,4978,25686,2489,2489,10018,15668,9.709,3585,0.470990990990991,0.13046516270712716,0.6037140854940435,0.20433049323848979,0.6630646149160258,221.707,10,2026-09-18T18:11:20.653599+00:00
