model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,2,16302,7581,8151,8151,3494,4087,110.5913,3585,0.7261871702304915,0.7484258729250143,0.7539902387547817,0.7371388301620859,0.8279189225641665,228.556,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,4,16302,7581,8151,8151,3494,4087,114.4031,3585,0.7364864864864865,0.748712077847739,0.7607175834322649,0.742548963951178,0.8324673189272421,344.174,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,24,16302,7581,8151,8151,3494,4087,119.6585,3585,0.7410213243546577,0.7558672009158558,0.7657301147605857,0.7483706432417115,0.8357238365493281,465.115,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,42,16302,7581,8151,8151,3494,4087,122.0567,3585,0.7248603351955307,0.7427017744705209,0.7514839730906213,0.7336726039016115,0.8227194747779023,588.468,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,64,16302,7581,8151,8151,3494,4087,115.0822,3585,0.7406784412671713,0.7561534058385804,0.7655982060414194,0.7483359297549922,0.8374860941662514,704.859,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,67,16302,7581,8151,8151,3494,4087,120.8801,3585,0.724972497249725,0.7544361763022324,0.754913599788946,0.7394109396914446,0.8265103769767712,827.038,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,104,16302,7581,8151,8151,3494,4087,122.072,3585,0.731273920174959,0.7655981682884946,0.7623004880622609,0.7480425055928411,0.8347154316344184,950.411,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,123,16302,7581,8151,8151,3494,4087,120.8247,3585,0.7259507829977628,0.7429879793932456,0.7522754254056193,0.7343705799151343,0.8245481190517241,1072.546,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,420,16302,7581,8151,8151,3494,4087,111.6386,3585,0.735964424680378,0.7578706353749285,0.7630919403772589,0.7467569091934574,0.8341619994092427,1185.501,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,511,16302,7581,8151,8151,3494,4087,120.399,3585,0.7308337996642418,0.7475672581568403,0.7567603218572748,0.7391058290888511,0.8291674538994388,1307.235,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,mean,0,0,0,0,0,0,117.76062000000002,3585.0,0.7318229182301405,0.7520320549513452,0.7586861891571033,0.7417753734493309,0.8305419027956485,44370.711,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_constraints,std,0,0,0,0,0,0,4.171956285677022,0.0,0.0060403735006829395,0.0068440687705255375,0.005166782191377245,0.005531093544524848,0.004810852940090212,44370.711,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_facts,2,16302,27416,8151,8151,899,26517,110.1175,3585,0.03279107090749927,1.0,0.03279107090749927,0.06349991170757549,0.6788714004401986,1419.512,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_facts,4,16302,27416,8151,8151,899,26517,111.6481,3585,0.03279107090749927,1.0,0.03279107090749927,0.06349991170757549,0.6739474074662284,1533.317,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_facts,24,16302,27416,8151,8151,899,26517,112.5214,3585,0.03279107090749927,1.0,0.03279107090749927,0.06349991170757549,0.6854763517080549,1648.0,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_facts,42,16302,27416,8151,8151,899,26517,113.7801,3585,0.03279107090749927,1.0,0.03279107090749927,0.06349991170757549,0.6946119690757703,1763.938,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_facts,64,16302,27416,8151,8151,899,26517,105.6947,3585,0.03279107090749927,1.0,0.03279107090749927,0.06349991170757549,0.6618589967449261,1871.771,10,2026-07-20T15:51:52.431967+00:00
gemma-2-9b-it,belief_bank_constraints,hidden,0,25268,belief_bank_facts,67,16302,27416,8151,8151,899,26517,104.3796,3585,0.03279107090749927,1.0,0.03279107090749927,0.06349991170757549,0.6849348811136878,1978.215,10,2026-07-20T15:51:52.431967+00:00
