model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,2,16128,7625,8064,8064,3456,4169,142.9506,3585,0.7714854866249289,0.7844328703703703,0.7969836065573771,0.7779053084648494,0.8694320763705657,191.284,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,4,16128,7625,8064,8064,3456,4169,140.9839,3585,0.7697089573325798,0.7881944444444444,0.7971147540983606,0.7788420300214439,0.867713524870517,333.597,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,24,16128,7625,8064,8064,3456,4169,144.9509,3585,0.764153627311522,0.7771990740740741,0.7902950819672131,0.7706211447425046,0.8623064833693131,479.859,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,42,16128,7625,8064,8064,3456,4169,154.7962,3585,0.7718101733447001,0.7858796296296297,0.7976393442622951,0.7787813620071684,0.8676806266268667,635.951,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,64,16128,7625,8064,8064,3456,4169,160.4555,3585,0.7776824034334764,0.7864583333333334,0.801311475409836,0.7820457488131204,0.870598090069561,797.737,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,67,16128,7625,8064,8064,3456,4169,130.724,3585,0.7752489331436699,0.7884837962962963,0.8005245901639344,0.7818103571940898,0.8688388669012018,929.775,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,104,16128,7625,8064,8064,3456,4169,147.224,3585,0.7836981566820277,0.7873263888888888,0.8051147540983606,0.7855080831408776,0.8710725465961284,1078.303,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,123,16128,7625,8064,8064,3456,4169,141.9821,3585,0.7781579697747363,0.7896412037037037,0.8026229508196722,0.7838575326726985,0.8703232439833692,1221.546,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,420,16128,7625,8064,8064,3456,4169,139.5911,3585,0.7726500566251415,0.7896412037037037,0.7993442622950819,0.7810532341156268,0.8691394624565798,1362.411,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,511,16128,7625,8064,8064,3456,4169,149.1043,3585,0.778826895565093,0.7876157407407407,0.8023606557377049,0.7831966623507409,0.8683298463971287,1512.833,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,mean,0,0,0,0,0,0,145.27626,3585.0,0.7743422659837875,0.7864872685185185,0.7993311475409837,0.7803621463523119,0.8685434767641231,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_constraints,std,0,0,0,0,0,0,7.863624350793978,0.0,0.0052620805123427304,0.0034588138099592787,0.003921048294255009,0.00397335001810384,0.0023536422835613827,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,2,16128,27416,8064,8064,899,26517,140.5128,3585,0.03315953336584268,0.9833147942157954,0.059308433031806246,0.06415559910007983,0.6827748295707882,1655.371,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,4,16128,27416,8064,8064,899,26517,144.1659,3585,0.032844036697247704,0.9955506117908788,0.03855412897578057,0.06359018082347508,0.6956790956988032,1801.65,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,24,16128,27416,8064,8064,899,26517,152.2845,3585,0.03285830318245588,0.9899888765294772,0.04417128683980157,0.06360550294800786,0.6971160818066929,1956.047,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,42,16128,27416,8064,8064,899,26517,158.5583,3585,0.032870895713605915,0.9988876529477196,0.036256200758681065,0.06364731731518888,0.6892166013676118,2116.722,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,64,16128,27416,8064,8064,899,26517,152.6251,3585,0.03289891332760746,0.9799777530589544,0.05471257659760723,0.06366066912349158,0.6889853815104572,2271.472,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,67,16128,27416,8064,8064,899,26517,128.8027,3585,0.033412249885443716,0.9733036707452726,0.07583163116428362,0.06460663787056521,0.6958534334575721,2402.434,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,104,16128,27416,8064,8064,899,26517,132.9079,3585,0.032913007580875175,0.9755283648498332,0.059271957980741176,0.06367761844254856,0.6827352302338587,2537.453,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,123,16128,27416,8064,8064,899,26517,141.3809,3585,0.03282488410348437,0.9766407119021134,0.05562445287423402,0.06351502875538033,0.6886979087816689,2680.952,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,420,16128,27416,8064,8064,899,26517,139.6109,3585,0.03293289921784364,0.978865406006674,0.05675517945725124,0.06372194062273714,0.6954899920855859,2822.674,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,511,16128,27416,8064,8064,899,26517,149.2008,3585,0.032851800249321696,0.996662958843159,0.037751677852348994,0.06360699960955525,0.6799454485575039,2973.981,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,mean,0,0,0,0,0,0,144.00498,3585.0,0.03295665233237283,0.9848720800889877,0.05182375255325357,0.06377874946110298,0.6896494003070543,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,belief_bank_facts,std,0,0,0,0,0,0,8.799557044283539,0.0,0.00017680457325853227,0.00909407494370174,0.011874338451486754,0.0003219792040783382,0.005962187693826795,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,2,16128,10000,8064,8064,2473,7527,149.9903,3585,0.24864572047670638,0.18560452891225232,0.6599,0.2125492012039824,0.5016165553837698,3125.33,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,4,16128,10000,8064,8064,2473,7527,150.3489,3585,0.24919378481383758,0.34371209057824503,0.5816,0.28891910265125764,0.500385644971001,3277.04,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,24,16128,10000,8064,8064,2473,7527,153.3048,3585,0.24746038195855344,0.2462596037201779,0.6284,0.24685853263072557,0.501129026218647,3431.709,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,42,16128,10000,8064,8064,2473,7527,161.2357,3585,0.24645390070921985,0.22482814395471087,0.6383,0.2351448509198562,0.49971672272311923,3594.311,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,64,16128,10000,8064,8064,2473,7527,160.3811,3585,0.2551456310679612,0.2656692276587141,0.6266,0.2603011093502377,0.5008724488861263,3756.06,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,67,16128,10000,8064,8064,2473,7527,130.6279,3585,0.24870734229576008,0.19450060655074808,0.6555,0.2182890855457227,0.49999457405557274,3888.06,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,104,16128,10000,8064,8064,2473,7527,146.0052,3585,0.2547025927808846,0.2025879498584715,0.6562,0.22567567567567567,0.5000287951110199,4035.447,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,123,16128,10000,8064,8064,2473,7527,144.8058,3585,0.24902572096648481,0.25839061868176305,0.6239,0.2536217503472911,0.5004091484431488,4181.64,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,420,16128,10000,8064,8064,2473,7527,148.9843,3585,0.24730737365368682,0.24140719773554387,0.6307,0.24432166973603436,0.49604271367919806,4332.011,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,511,16128,10000,8064,8064,2473,7527,150.9777,3585,0.2508792497069168,0.25960372017792155,0.6252,0.25516693163751986,0.49857950386560934,4484.38,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,mean,0,0,0,0,0,0,149.66617000000002,3585.0,0.24975216984300114,0.24225636878285486,0.63263,0.24408479096983035,0.49987751333372127,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,0,25414,halu_eval,std,0,0,0,0,0,0,8.149486107853672,0.0,0.002830719630708579,0.04334372770671031,0.021558852010253236,0.021385349121014988,0.0015024726997730263,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,2,16128,7625,8064,8064,3456,4169,121.6176,3585,0.8242820585726471,0.8388310185185185,0.8459016393442623,0.8314929011903055,0.9158789133640717,4608.1,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,4,16128,7625,8064,8064,3456,4169,113.4706,3585,0.824433883142298,0.8532986111111112,0.8511475409836066,0.8386179439783876,0.9169893331956327,4722.904,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,24,16128,7625,8064,8064,3456,4169,124.3039,3585,0.835509138381201,0.8333333333333334,0.8500983606557377,0.834419817470665,0.9155817880875599,4848.514,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,42,16128,7625,8064,8064,3456,4169,106.5489,3585,0.8216524216524217,0.8344907407407407,0.8428852459016394,0.8280218202698822,0.9148574020770591,4956.389,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,64,16128,7625,8064,8064,3456,4169,108.1195,3585,0.8256932654216186,0.8443287037037037,0.848655737704918,0.8349070100143061,0.9159275666737736,5065.836,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,67,16128,7625,8064,8064,3456,4169,106.1919,3585,0.8206993006993007,0.8489583333333334,0.8474754098360656,0.8345896742995307,0.9111975071737606,5173.37,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,104,16128,7625,8064,8064,3456,4169,117.0384,3585,0.8304409672830726,0.8446180555555556,0.8514098360655737,0.8374695165686415,0.9174114579168999,5291.843,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,123,16128,7625,8064,8064,3456,4169,100.0224,3585,0.8192329385222786,0.8405671296296297,0.843672131147541,0.8297629248786061,0.914675628870055,5393.306,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,420,16128,7625,8064,8064,3456,4169,104.7801,3585,0.8229489709613758,0.8446180555555556,0.8472131147540983,0.8336427245466229,0.9105727875722929,5499.539,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,511,16128,7625,8064,8064,3456,4169,96.4623,3585,0.8238312428734321,0.8362268518518519,0.8447213114754099,0.8299827685238369,0.9119471568144061,5597.466,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,mean,0,0,0,0,0,0,109.85556,3585.0,0.8248724187509646,0.8419270833333332,0.8473180327868853,0.8332907101740785,0.9145039541745511,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_constraints,std,0,0,0,0,0,0,8.607920021027146,0.0,0.0045796713481247855,0.0060998362645346945,0.0028749742646336407,0.0032545573936321862,0.0022975611230276714,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,2,16128,27416,8064,8064,899,26517,105.8831,3585,0.03392065204362939,0.9443826473859844,0.11620951269331777,0.06548904659055847,0.6722821798411438,5705.651,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,4,16128,27416,8064,8064,899,26517,101.4982,3585,0.034296913277805,0.9343715239154616,0.13514006419608987,0.0661651766373912,0.6797268971322906,5809.452,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,24,16128,27416,8064,8064,899,26517,108.1194,3585,0.038348679550743704,0.8431590656284761,0.301539247154946,0.07336075489958868,0.680965131483432,5919.86,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,42,16128,27416,8064,8064,899,26517,106.672,3585,0.034153283187639764,0.9343715239154616,0.1313831339363875,0.06589785831960461,0.6706265584111405,6028.839,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,64,16128,27416,8064,8064,899,26517,113.4975,3585,0.032823724442807144,0.9911012235817576,0.0420922089290925,0.06354300385109114,0.6891429818376216,6144.67,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,67,16128,27416,8064,8064,899,26517,106.1453,3585,0.035023195553140804,0.932146829810901,0.15560256784359497,0.06750986868605494,0.6728504554951484,6253.149,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,104,16128,27416,8064,8064,899,26517,112.108,3585,0.034244094805038025,0.946607341490545,0.12284797198716078,0.06609708737864077,0.6871792070929124,6367.581,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,123,16128,27416,8064,8064,899,26517,104.8367,3585,0.03290317711870802,0.9699666295884316,0.06415961482346075,0.06364731214189263,0.6832505249953407,6474.735,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,420,16128,27416,8064,8064,899,26517,100.4947,3585,0.032589285714285716,0.9744160177975528,0.0506638459293843,0.06306922495410201,0.6717427227723832,6577.533,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,511,16128,27416,8064,8064,899,26517,96.955,3585,0.03399444824395542,0.9399332591768632,0.1221914210679895,0.06561577884764715,0.6762705545832605,6676.796,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,mean,0,0,0,0,0,0,105.62099,3585.0,0.034229745393775296,0.9410456062291436,0.12418295885614239,0.06603951123065717,0.6784037213644674,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,belief_bank_facts,std,0,0,0,0,0,0,4.804182820511728,0.0,0.0015551345715043156,0.03774775576067735,0.06959196992546741,0.002776005382822685,0.006339239587100634,48555.029,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,2,16128,10000,8064,8064,2473,7527,111.1232,3585,0.24280956706024825,0.32430246663970885,0.5828,0.27770083102493076,0.4964718199278393,6789.457,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,4,16128,10000,8064,8064,2473,7527,96.973,3585,0.2524711696869852,0.4957541447634452,0.5123,0.33456133169600216,0.5022805083261117,6887.979,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,24,16128,10000,8064,8064,2473,7527,104.0497,3585,0.24329731892757103,0.24585523655479175,0.6244,0.24456958970233306,0.49971734052867284,6993.563,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,42,16128,10000,8064,8064,2473,7527,111.4633,3585,0.25022143489813997,0.45693489688637284,0.5271,0.3233652883102017,0.5039270407097866,7106.561,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,64,16128,10000,8064,8064,2473,7527,113.5632,3585,0.2500973899493572,0.25960372017792155,0.6244,0.25476190476190474,0.5010791719965826,7221.663,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,67,16128,10000,8064,8064,2473,7527,102.2203,3585,0.25449101796407186,0.20622725434694703,0.6543,0.227831136922046,0.5014327985232405,7325.422,10,2026-09-18T18:11:23.763898+00:00
gemma-2-9b-it,belief_bank_constraints,mlp,1,25414,halu_eval,104,16128,10000,8064,8064,2473,7527,117.138,3585,0.2582500756887678,0.3449251920744036,0.593,0.2953601108033241,0.5054412821216581,7444.091,10,2026-09-18T18:11:23.763898+00:00
