model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,2,1258,8225,629,629,270,7955,4.9894,3585,0.1592920353982301,0.8666666666666667,0.8454711246200608,0.26912018401380106,0.9150536583094722,41.013,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,4,1258,8225,629,629,270,7955,4.5976,3585,0.13705882352941176,0.8629629629629629,0.8171428571428572,0.2365482233502538,0.8984915147705845,46.158,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,24,1258,8225,629,629,270,7955,4.728,3585,0.15312916111850866,0.8518518518518519,0.8404863221884499,0.2595936794582393,0.90558279209442,51.439,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,42,1258,8225,629,629,270,7955,4.7084,3585,0.16666666666666666,0.8740740740740741,0.8524012158054711,0.27995255041518385,0.9137733081919128,56.698,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,64,1258,8225,629,629,270,7955,4.5372,3585,0.1515358361774744,0.8222222222222222,0.8430395136778116,0.2559077809798271,0.8987210466280234,61.786,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,67,1258,8225,629,629,270,7955,4.5669,3585,0.1482444733420026,0.8444444444444444,0.8356231003039514,0.252212389380531,0.9047526596363806,66.899,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,104,1258,8225,629,629,270,7955,4.597,3585,0.157202216066482,0.8407407407407408,0.8468085106382979,0.26487747957992996,0.9146583793095421,72.039,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,123,1258,8225,629,629,270,7955,4.717,3585,0.16216216216216217,0.8666666666666667,0.8486322188449849,0.2732049036777583,0.9084721931233559,77.299,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,420,1258,8225,629,629,270,7955,3.0117,3585,0.17034925160370634,0.8851851851851852,0.8547112462006079,0.2857142857142857,0.9248006145680565,80.854,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,511,1258,8225,629,629,270,7955,2.9004,3585,0.15213239974538512,0.8851851851851852,0.8342857142857143,0.25964149918522544,0.9227376213422724,84.299,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,4.33536,3585.0,0.155777302581003,0.86,0.8418601823708206,0.2636772975755035,0.9107043787974021,2866.498,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_facts,std,0,0,0,0,0,0,0.700678520007571,0.0,0.009118569444198237,0.019159284676114916,0.010344790002912514,0.01353925112711701,0.008642117974366075,2866.498,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_constraints,2,1258,25414,629,629,11520,13894,2.9012,3585,0.6279761904761905,0.14652777777777778,0.5737782324702919,0.2376126126126126,0.6025425580886233,88.384,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_constraints,4,1258,25414,629,629,11520,13894,2.931,3585,0.7069408740359897,0.07161458333333333,0.5657118123868734,0.1300543863797588,0.6029573242046926,92.503,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_constraints,24,1258,25414,629,629,11520,13894,3.0621,3585,0.6681071737251513,0.13420138888888888,0.5773195876288659,0.22350730085297094,0.6151250152443901,96.749,10,2026-09-18T18:12:25.109411+00:00
gemma-2-9b-it,belief_bank_facts,attn,0,27416,belief_bank_constraints,42,1258,25414,629,629,11520,13894,2.9522,3585,0.5883242017759305,0.2703125,0.5834972849610451,0.37042764527448996,0.5944294812009181,100.883,10,2026-09-18T18:12:25.109411+00:00
