model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,2,1258,8225,629,629,270,7955,4.0697,3585,0.136977886977887,0.825925925925926,0.8234650455927052,0.23498419388830347,0.8947342691528737,47.513,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,4,1258,8225,629,629,270,7955,3.455,3585,0.1296928327645051,0.8444444444444444,0.8088753799392098,0.22485207100591717,0.8872644737761017,51.509,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,24,1258,8225,629,629,270,7955,3.7162,3585,0.13836858006042296,0.8481481481481481,0.8216413373860182,0.23792207792207792,0.8886221104825757,55.767,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,42,1258,8225,629,629,270,7955,3.6961,3585,0.1464035646085296,0.8518518518518519,0.8320972644376899,0.2498642042368278,0.9015094163931372,60.003,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,64,1258,8225,629,629,270,7955,3.5251,3585,0.14146341463414633,0.8592592592592593,0.8241945288753799,0.24293193717277486,0.8898964080359428,64.069,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,67,1258,8225,629,629,270,7955,3.5754,3585,0.13601868067717454,0.8629629629629629,0.8155623100303951,0.23499747856782652,0.8900090788462881,68.186,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,104,1258,8225,629,629,270,7955,3.6962,3585,0.1499659168370825,0.8148148148148148,0.8423100303951367,0.2533103051237766,0.8961449821914939,72.423,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,123,1258,8225,629,629,270,7955,3.6359,3585,0.1469038208168643,0.825925925925926,0.836838905775076,0.2494407158836689,0.8955630048653305,76.601,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,420,1258,8225,629,629,270,7955,2.2149,3585,0.14521242866201647,0.8481481481481481,0.8311246200607902,0.24796968056307525,0.9062499709011337,79.356,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,511,1258,8225,629,629,270,7955,2.2145,3585,0.13567534827377348,0.8296296296296296,0.8209118541033434,0.2332118688183238,0.9022678492445935,82.102,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,3.3799,3585.0,0.14066824743124023,0.8411111111111111,0.8257021276595745,0.24094845331825723,0.895226156388947,2691.634,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_facts,std,0,0,0,0,0,0,0.6028939641429494,0.0,0.006044991640082476,0.015221275991136677,0.009501688941314708,0.00869913823630993,0.006118944923029664,2691.634,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,2,1258,25414,629,629,11520,13894,2.2448,3585,0.6661466458658346,0.07413194444444444,0.5634689541197765,0.13341665364786753,0.5720541340786591,85.52,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,4,1258,25414,629,629,11520,13894,2.0235,3585,0.6786941580756014,0.0685763888888889,0.5630754702132683,0.12456638284452853,0.6015673544635574,88.714,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,24,1258,25414,629,629,11520,13894,2.205,3585,0.9166666666666666,0.021006944444444446,0.5553631856457071,0.04107264086897488,0.5680177007361291,92.086,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,42,1258,25414,629,629,11520,13894,2.2452,3585,0.5753728583754468,0.40520833333333334,0.594829621468482,0.47552590026995367,0.623061813252723,95.501,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,64,1258,25414,629,629,11520,13894,2.0136,3585,0.580127705964803,0.3233506944444444,0.5871960336822224,0.4152499860654367,0.6140172760174256,98.683,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,67,1258,25414,629,629,11520,13894,2.1123,3585,0.5726953467954345,0.5662326388888889,0.611867474620288,0.5694456569183762,0.6460533523663292,101.965,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,104,1258,25414,629,629,11520,13894,2.1828,3585,0.7371879106438897,0.04869791666666667,0.5609113087274731,0.09136063838449637,0.5937002433104617,105.34,10,2026-09-18T18:12:31.394580+00:00
gemma-2-9b-it,belief_bank_facts,hidden,0,27416,belief_bank_constraints,123,1258,25414,629,629,11520,13894,2.2856,3585,0.7874186550976139,0.031510416666666666,0.5571338632249941,0.06059594357733077,0.5928336996985109,108.809,10,2026-09-18T18:12:31.394580+00:00
