source_file,source_experiment,source_seed,experiment,seed,dataset,trainer,tester,layer_type,trainer_layers,tester_layers,ridge_regressor_trainer_accuracy,ridge_regressor_trainer_precision,ridge_regressor_trainer_recall,ridge_regressor_trainer_f1,ridge_regressor_trainer_auroc,ridge_regressor_tester_accuracy,ridge_regressor_tester_precision,ridge_regressor_tester_recall,ridge_regressor_tester_f1,ridge_regressor_tester_auroc,procrustes_trainer_accuracy,procrustes_trainer_precision,procrustes_trainer_recall,procrustes_trainer_f1,procrustes_trainer_auroc,procrustes_tester_accuracy,procrustes_tester_precision,procrustes_tester_recall,procrustes_tester_f1,procrustes_tester_auroc,cka_trainer_accuracy,cka_trainer_precision,cka_trainer_recall,cka_trainer_f1,cka_trainer_auroc,cka_tester_accuracy,cka_tester_precision,cka_tester_recall,cka_tester_f1,cka_tester_auroc,cca_trainer_accuracy,cca_trainer_precision,cca_trainer_recall,cca_trainer_f1,cca_trainer_auroc,cca_tester_accuracy,cca_tester_precision,cca_tester_recall,cca_tester_f1,cca_tester_auroc,hybrid_trainer_accuracy,hybrid_trainer_precision,hybrid_trainer_recall,hybrid_trainer_f1,hybrid_trainer_auroc,hybrid_tester_accuracy,hybrid_tester_precision,hybrid_tester_recall,hybrid_tester_f1,hybrid_tester_auroc,full_nonlinear_trainer_accuracy,full_nonlinear_trainer_precision,full_nonlinear_trainer_recall,full_nonlinear_trainer_f1,full_nonlinear_trainer_auroc,full_nonlinear_tester_accuracy,full_nonlinear_tester_precision,full_nonlinear_tester_recall,full_nonlinear_tester_f1,full_nonlinear_tester_auroc,reduced_nonlinear_trainer_accuracy,reduced_nonlinear_trainer_precision,reduced_nonlinear_trainer_recall,reduced_nonlinear_trainer_f1,reduced_nonlinear_trainer_auroc,reduced_nonlinear_tester_accuracy,reduced_nonlinear_tester_precision,reduced_nonlinear_tester_recall,reduced_nonlinear_tester_f1,reduced_nonlinear_tester_auroc,one_for_all_trainer_accuracy,one_for_all_trainer_precision,one_for_all_trainer_recall,one_for_all_trainer_f1,one_for_all_trainer_auroc,one_for_all_tester_accuracy,one_for_all_tester_precision,one_for_all_tester_recall,one_for_all_tester_f1,one_for_all_tester_auroc
results\experiments\FalconToGemma_BBC\seed_104\results_attn.csv,FalconToGemma_BBC,seed_104,FalconToGemma_BBC,104,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,attn,"[12, 13, 17]","[23, 27, 33]",0.8677966101694915,0.8702486424692769,0.8633399489651262,0.8667805294619982,0.9174016917940178,0.8198641029347983,0.8448865402548958,0.7844155844155845,0.8135288835677941,0.8883039131590695,0.8677966101694915,0.8702486424692769,0.8633399489651262,0.8667805294619982,0.9174016917940178,0.878560069394246,0.8482356062616079,0.9226551226551226,0.8838816698921759,0.9477197901879246,0.8677966101694915,0.8702486424692769,0.8633399489651262,0.8667805294619982,0.9174016917940178,0.8833309238109007,0.859577922077922,0.9168831168831169,0.8873062421449518,0.947719706584133,0.8677966101694915,0.8702486424692769,0.8633399489651262,0.8667805294619982,0.9174016917940178,0.571056816538962,0.5750452079566004,0.5506493506493506,0.5625829279080053,0.5502585029236247,0.8679378531073446,0.8675553034600113,0.8673093280408279,0.8674322983127747,0.9157822438634502,0.6859910365765505,0.6805361630829377,0.7033189033189033,0.6917399943230201,0.741812179065945,0.8646892655367232,0.8761346998535872,0.8483130138928268,0.8619994237971766,0.9354857797166182,0.714471591730519,0.7150692840646651,0.7148629148629149,0.7149660845720883,0.7610607816285685,0.55,0.5414942808469214,0.6308477459597391,0.5827658459926663,0.5853711359859859,0.5110597079658812,0.5070422535211268,0.8623376623376623,0.638597991023723,0.4789705112706272,0.8648305084745763,0.8551686014372581,0.8772327757300822,0.8660601819454163,0.9337661038072986,0.9958074309671823,0.9953863898500577,0.9962481962481963,0.9958171065916631,0.9998633078007354
results\experiments\FalconToGemma_BBC\seed_104\results_hidden.csv,FalconToGemma_BBC,seed_104,FalconToGemma_BBC,104,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,hidden,"[0, 1, 2]","[23, 24, 27]",0.7992937853107345,0.7902425578831312,0.8128721292883471,0.8013976240391335,0.8853445388639174,0.7297961544021975,0.7866379310344828,0.6320346320346321,0.7009121459433509,0.7856476534923813,0.7992937853107345,0.7902425578831312,0.8128721292883471,0.8013976240391335,0.8853445388639174,0.8130692496747145,0.7963973799126638,0.8421356421356422,0.8186281385888624,0.8981360534662969,0.7992937853107345,0.7902425578831312,0.8128721292883471,0.8013976240391335,0.8853445388639174,0.8097441087176521,0.8367282983390787,0.7705627705627706,0.8022836538461539,0.8981361370700884,0.7992937853107345,0.7902425578831312,0.8128721292883471,0.8013976240391335,0.8853445388639174,0.5905739482434581,0.5995596099402328,0.55007215007215,0.5737507525586996,0.5719436543886138,0.7898305084745763,0.7810862972153295,0.8032322086759286,0.7920044730220855,0.8746412520645089,0.48388029492554574,0.48247078464106846,0.417027417027417,0.4473684210526316,0.4834904248577482,0.5288135593220339,0.5240979056270502,0.5888857385880352,0.5546061415220294,0.5459024192847568,0.5362151221627873,0.5404724409448819,0.49523809523809526,0.516867469879518,0.552961288100338,0.5327683615819209,0.5239344262295081,0.6796144031755033,0.5917057516662553,0.5408009268853653,0.5557322538672835,0.5447488584474885,0.6886002886002885,0.6082855321861058,0.5887348071009717,0.5378531073446328,0.5291029445332116,0.6572157641054721,0.5862417804754679,0.5481416687367948,0.98684400751771,0.9932748538011696,0.9803751803751803,0.9867828612926652,0.9962742388292793
results\experiments\FalconToGemma_BBC\seed_104\results_mlp.csv,FalconToGemma_BBC,seed_104,FalconToGemma_BBC,104,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,mlp,"[0, 2, 12]","[24, 25, 26]",0.8024011299435029,0.7965440356744704,0.8103203855968245,0.8033731553056922,0.8673944739431594,0.7863235506722568,0.8232997071265864,0.7301587301587301,0.7739369837870909,0.8581775376676883,0.8024011299435029,0.7965440356744704,0.8103203855968245,0.8033731553056922,0.8673944739431594,0.8551395113488507,0.8221292178917081,0.907070707070707,0.8625137211855104,0.9293625712513314,0.8024011299435029,0.7965440356744704,0.8103203855968245,0.8033731553056922,0.8673944739431594,0.8594766517276275,0.8349905939263639,0.8966810966810966,0.8647369885889229,0.9293625712513314,0.8024011299435029,0.7965440356744704,0.8103203855968245,0.8033731553056922,0.8673944739431594,0.5775625271071274,0.5814581458145814,0.5593073593073593,0.5701676963812886,0.5432864901289003,0.7944915254237288,0.7885793871866296,0.8026651545222568,0.7955599269355065,0.8603202220081648,0.7055081682810467,0.7404040404040404,0.6346320346320347,0.6834498834498834,0.7682262117951574,0.7031073446327684,0.6910699919549477,0.7306492770059541,0.710308710033076,0.7831892463039537,0.597368801503542,0.6272455089820359,0.4836940836940837,0.5461952093856933,0.6468958330198191,0.5274011299435029,0.5196014728178471,0.6801814573291749,0.5891453831041258,0.5428516902818201,0.5927425184328466,0.5888645090510148,0.6196248196248196,0.6038531852060188,0.6416520360031368,0.6494350282485876,0.6489028213166145,0.6455911539552027,0.6472427515633883,0.7324956742769442,0.9933497180858754,0.9979609670841829,0.9887445887445887,0.9933314004059147,0.999705296634613
results\experiments\FalconToGemma_BBC\seed_123\results_attn.csv,FalconToGemma_BBC,seed_123,FalconToGemma_BBC,123,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,attn,"[12, 13, 17]","[23, 27, 33]",0.8717514124293785,0.8779516358463727,0.8656381486676017,0.8717514124293785,0.9228366108782435,0.8363452363741506,0.8602918348339025,0.8024905878945844,0.8303865747677555,0.9013551492192416,0.8717514124293785,0.8779516358463727,0.8656381486676017,0.8717514124293785,0.9228366108782435,0.8772589272806129,0.8388859968766268,0.9333912539820446,0.8836189170664839,0.94905357258708,0.8717514124293785,0.8779516358463727,0.8656381486676017,0.8717514124293785,0.9228366108782435,0.8821743530432268,0.853051391862955,0.9229655372140168,0.8866323549867854,0.9490534889833723,0.8717514124293785,0.8779516358463727,0.8656381486676017,0.8717514124293785,0.9228366108782435,0.5862368078646812,0.5876074710939816,0.5739936287286418,0.5807207735130384,0.5655801277999717,0.8666666666666667,0.8726187091270969,0.8608695652173913,0.8667043208133296,0.9200081797306274,0.7474338586092236,0.7492694330800701,0.7425427164784245,0.745890909090909,0.8332417036696677,0.8709039548022599,0.8865558471857684,0.85273492286115,0.8693165570488991,0.9388230764166395,0.6385716351019228,0.6352540448481407,0.6481320590790617,0.6416284403669725,0.6787573094721663,0.5596045197740113,0.5546855884511867,0.6359046283309958,0.5925248301097752,0.5931661742202821,0.5091802804684111,0.5094339622641509,0.45351867940920937,0.47985291864562585,0.5361368248248167,0.8666666666666667,0.8713516576933975,0.8625525946704067,0.866929799830843,0.9363474909175064,0.9947954315454677,0.9962242230612838,0.9933391253982045,0.9947795823665894,0.9998357187143221
results\experiments\FalconToGemma_BBC\seed_123\results_hidden.csv,FalconToGemma_BBC,seed_123,FalconToGemma_BBC,123,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,hidden,"[0, 1, 2]","[23, 24, 27]",0.8169491525423729,0.8162810147755785,0.8213183730715288,0.8187919463087249,0.8998372832122,0.7350007228567298,0.7747625508819539,0.6614538082826528,0.7136384939853148,0.8015320713855276,0.8169491525423729,0.8162810147755785,0.8213183730715288,0.8187919463087249,0.8998372832122,0.8350440942605175,0.8132791327913279,0.8690993339125398,0.8402631947361052,0.9096225526686638,0.8169491525423729,0.8162810147755785,0.8213183730715288,0.8187919463087249,0.8998372832122,0.8369235217579876,0.8412092750220135,0.8300028960324356,0.8355685131195335,0.9096225526686638,0.8169491525423729,0.8162810147755785,0.8213183730715288,0.8187919463087249,0.8998372832122,0.597947086887379,0.6031941031941032,0.5687807703446278,0.5854821881055299,0.57589176730881,0.8059322033898305,0.8037149986138065,0.8131837307152875,0.8084216397099833,0.891193781808678,0.6071996530287697,0.5968421052631578,0.6568201563857515,0.6253963877016407,0.6517512635864385,0.5350282485875706,0.5271641791044777,0.7430575035063114,0.6167636786961583,0.5525615125718469,0.6090790805262397,0.5906999273431823,0.7063423110338836,0.6433658665259826,0.6418368252929976,0.5364406779661017,0.5344031120836372,0.6165497896213183,0.5725449335764522,0.5484711684445943,0.574815671533902,0.5522022838499184,0.7842455835505358,0.648079454349647,0.6263623224173644,0.5385593220338983,0.5318921232876712,0.697054698457223,0.6033750151754279,0.5483469961435563,0.9859765794419546,0.9906432748538012,0.9811757891688387,0.9858868034337261,0.9927311174337807
results\experiments\FalconToGemma_BBC\seed_123\results_mlp.csv,FalconToGemma_BBC,seed_123,FalconToGemma_BBC,123,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,mlp,"[0, 2, 12]","[24, 25, 26]",0.8105932203389831,0.81078814980436,0.8137447405329593,0.8122637547249055,0.8746494985426114,0.7910944050889114,0.8238709677419355,0.7396466840428613,0.7794903097817794,0.8656919812005358,0.8105932203389831,0.81078814980436,0.8137447405329593,0.8122637547249055,0.8746494985426114,0.8732109295937546,0.8501903208265361,0.9055893426006372,0.8770158463048661,0.9406711304358294,0.8105932203389831,0.81078814980436,0.8137447405329593,0.8122637547249055,0.8746494985426114,0.8724880728639584,0.8563903520931522,0.8945844193454967,0.875070821529745,0.9406711304358294,0.8105932203389831,0.81078814980436,0.8137447405329593,0.8122637547249055,0.8746494985426114,0.5998265143848489,0.6029455966336038,0.5809441065739936,0.591740412979351,0.5756212257106148,0.8049435028248587,0.8076056338028169,0.8042075736325386,0.8059030217849613,0.868404972478199,0.6619921931473182,0.6702290076335878,0.6356791196061395,0.6524970273483948,0.7136281651527708,0.7088983050847457,0.6992580816110228,0.7402524544179523,0.719171549257392,0.7885021317176037,0.6222350730085298,0.6377952755905512,0.5629887054735013,0.5980618366405168,0.6668324110172298,0.5288135593220339,0.5281534300467174,0.6025245441795232,0.5628930817610063,0.547542948573435,0.5633945352031228,0.5557558588720062,0.6249637995945555,0.5883315158124318,0.5882988919498994,0.6459039548022599,0.638336820083682,0.6847124824684432,0.6607118689944512,0.7303497134101695,0.9907474338586092,0.9933042212518195,0.9881262670141906,0.9907084785133565,0.9995688556792668
results\experiments\FalconToGemma_BBC\seed_2\results_attn.csv,FalconToGemma_BBC,seed_2,FalconToGemma_BBC,2,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,attn,"[12, 13, 17]","[23, 27, 33]",0.8685028248587571,0.8680814453685116,0.8653516295025729,0.8667143879742305,0.9163446752216069,0.8143703917883476,0.8567656765676568,0.7533372025536854,0.8017294626312539,0.8843685002657791,0.8685028248587571,0.8680814453685116,0.8653516295025729,0.8667143879742305,0.9163446752216069,0.8797166401619199,0.8492784607161945,0.922228670922809,0.8842515303283249,0.9423965221828889,0.8685028248587571,0.8680814453685116,0.8653516295025729,0.8667143879742305,0.9163446752216069,0.8798612115078791,0.845442536327609,0.9286128845037724,0.8850781358041765,0.9423965221828889,0.8685028248587571,0.8680814453685116,0.8653516295025729,0.8667143879742305,0.9163446752216069,0.5957785166979904,0.5945867287543656,0.5928612884503772,0.5937227550130776,0.5721178614013166,0.8639830508474576,0.8618327148158721,0.8630646083476272,0.8624482216826168,0.9128463453152939,0.762035564551106,0.7764127764127764,0.7336041787579802,0.7544016711429424,0.8344603649875353,0.8648305084745763,0.8733470467234793,0.8496283590623214,0.8613244457325026,0.9350637949291595,0.6761601850513228,0.6893844221105527,0.6369704004643064,0.6621417797888386,0.738605739655646,0.5481638418079096,0.5359461408992546,0.6372212692967409,0.5822123547081103,0.5726204237629287,0.48691629319068963,0.48112861854159034,0.3810214741729541,0.42526315789473684,0.47315318718248023,0.8653954802259887,0.8691615897882217,0.8564894225271584,0.8627789776817855,0.9353470388598861,0.9945062888535492,0.9959254947613504,0.9930354033662218,0.994478349317059,0.9997251081132735
results\experiments\FalconToGemma_BBC\seed_2\results_hidden.csv,FalconToGemma_BBC,seed_2,FalconToGemma_BBC,2,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,hidden,"[0, 1, 2]","[23, 24, 27]",0.809322033898305,0.8015160022459292,0.8161806746712407,0.8087818696883853,0.8954256863377941,0.7417955761168137,0.7712418300653595,0.6848520023215322,0.7254841684598832,0.8167848919151519,0.809322033898305,0.8015160022459292,0.8161806746712407,0.8087818696883853,0.8954256863377941,0.8069972531444268,0.7962391243334269,0.8232733604178758,0.8095306035097731,0.8909725939142883,0.809322033898305,0.8015160022459292,0.8161806746712407,0.8087818696883853,0.8954256863377941,0.8082983952580598,0.8132387706855791,0.7986070806732444,0.8058565153733529,0.8909725103096999,0.809322033898305,0.8015160022459292,0.8161806746712407,0.8087818696883853,0.8954256863377941,0.6069105103368513,0.6068175139582721,0.5992455020313406,0.6030077383559643,0.5780358121926591,0.8050847457627118,0.7933518005540167,0.8187535734705546,0.8058525604952167,0.8882195265764053,0.6327887812635535,0.6602972399150743,0.5414973882762624,0.5950255102040817,0.7041784570037486,0.5423728813559322,0.5238712065136936,0.8093196112064036,0.6360368456526623,0.5499193684578154,0.5250831285239266,0.5198716366329301,0.6111433546140452,0.5618247298919568,0.5083479181537833,0.5324858757062146,0.5175569667538289,0.792166952544311,0.6260732037957524,0.5477509841309974,0.5839236663293336,0.5790205898720089,0.6038885664538596,0.5911931818181818,0.6225800442870226,0.5319209039548023,0.515944540727903,0.8510577472841624,0.6424255502805352,0.5529903982781578,0.9855428654040769,0.993801652892562,0.9770748694138132,0.9853672812408546,0.9922276576351974
results\experiments\FalconToGemma_BBC\seed_2\results_mlp.csv,FalconToGemma_BBC,seed_2,FalconToGemma_BBC,2,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,mlp,"[0, 2, 12]","[24, 25, 26]",0.8004237288135593,0.7917716204869857,0.8087478559176673,0.8001697072549852,0.8660570258062434,0.7841549804828682,0.8225966303270565,0.722576900754498,0.7693496060559246,0.8602447724977021,0.8004237288135593,0.7917716204869857,0.8087478559176673,0.8001697072549852,0.8660570258062434,0.8639583634523638,0.8386050283860503,0.9001741149158444,0.8682995101469559,0.9317694593441755,0.8004237288135593,0.7917716204869857,0.8087478559176673,0.8001697072549852,0.8660570258062434,0.8648257915281191,0.8440668676349685,0.893789901334881,0.8682170542635659,0.9317694593441755,0.8004237288135593,0.7917716204869857,0.8087478559176673,0.8001697072549852,0.8660570258062434,0.5762613849934943,0.5771188978736148,0.5591990713871154,0.5680176860722181,0.5448610516821828,0.8002824858757062,0.790574456218628,0.8104631217838765,0.8003952569169961,0.861244392983276,0.5642619632788781,0.5618202633085289,0.569645966337783,0.5657060518731989,0.5923147234535785,0.7100282485875706,0.6889877059900602,0.7530017152658662,0.7195738287119245,0.7837781356435951,0.5768396703773312,0.5929774274453601,0.4802669762042948,0.5307038640371974,0.624908348469944,0.5357344632768362,0.5242250287026406,0.6526586620926244,0.5814338469374761,0.5581928606248319,0.5688882463495735,0.552393857271906,0.709808473592571,0.6212852425704851,0.6001380646173176,0.6449152542372881,0.6395348837209303,0.6446540880503144,0.6420842824601367,0.7202599858449863,0.9921931473182015,0.9907407407407407,0.9936157864190366,0.9921761808171544,0.9994093335828095
results\experiments\FalconToGemma_BBC\seed_24\results_attn.csv,FalconToGemma_BBC,seed_24,FalconToGemma_BBC,24,belief_bank_constraints,Falcon3-7B-Base,gemma-2-9b-it,attn,"[12, 13, 17]","[23, 27, 33]",0.8679378531073446,0.8775915932973587,0.8597662771285476,0.8685874912157414,0.9218469393912402,0.827815526962556,0.846441947565543,0.7950747581354441,0.8199546485260771,0.8964235703989794,0.8679378531073446,0.8775915932973587,0.8597662771285476,0.8685874912157414,0.9218469393912402,0.8776926413184907,0.8480325644504749,0.9161536206391088,0.8807779030439684,0.9423285424509108,0.8679378531073446,0.8775915932973587,0.8597662771285476,0.8685874912157414,0.9218469393912402,0.882318924389186,0.8624058051911806,0.9058927000879508,0.8836145267372033,0.9423285424509108,0.8679378531073446,0.8775915932973587,0.8597662771285476,0.8685874912157414,0.9218469393912402,0.6004047997686859,0.5970014992503748,0.583699794781589,0.5902757189445598,0.582419165670343,0.8653954802259887,0.8773935410117176,0.8542014468558708,0.865642182433385,0.9178442843637847,0.7496024287986122,0.7181085996362692,0.810319554382879,0.7614325068870523,0.8197335371636645,0.8700564971751412,0.8846375143843498,0.8555926544240401,0.8698727015558698,0.9395953717086328,0.6868584646523059,0.6801736613603473,0.6889475227206098,0.6845324788814448,0.731827902178165,0.5572033898305084,0.5623133315232147,0.5762381747356705,0.5691906005221932,0.5947011274288665,0.5281191267890704,0.5232080833596463,0.48578129580768104,0.5038005472788082,0.5332788804650838,0.8694915254237288,0.8779728199320498,0.8628269337785197,0.8703339882121808,0.9378620691526741,0.9926268613560792,0.9883720930232558,0.9967751392553503,0.9925558312655087,0.9998061705334725
